dgp,description,frob_min,frob_median,frob_max,frob_max_over_min_ratio
"Gaussian (baseline, from E17)",all moments finite,0.006373958233033367,0.008352514920018483,0.009009845958965557,1.413540162888355
t-Student ν=3,"variance finite, kurtosis infinite",0.0013263823773025896,0.009460709464706337,0.016637738283900513,12.543696726230644
stable α=1.5,"mean finite, variance infinite",0.00047259391199119957,0.0010337189984791905,0.002960450831509299,6.264259349080288
Cauchy,no moments finite,8.382124126413703e-05,0.00040778902563127595,0.0012830380745443072,15.306836968701104
