horizon,x,empirical_density,analytical_chi_squared_density,abs_diff
1,0.11988737451934078,1.5596513046693945,1.0851508839003998,0.4745004207689947
1,0.35966212345225745,0.5653431005694645,0.5557290198948661,0.009614080674598346
1,0.5994368723851741,0.38702991208621074,0.3818319593504934,0.005197952735717326
1,0.8392116213180908,0.28893784816091245,0.2862475861218541,0.0026902620390583665
1,1.0789863702510074,0.2261914577801255,0.22392530433883362,0.002266153441291885
1,1.318761119183924,0.17937668662530104,0.17966424639993794,0.00028755977463690297
1,1.5585358681168406,0.14617886226963023,0.146595250974367,0.0004163887047367587
1,1.7983106170497574,0.12476292909546328,0.12105410545788448,0.003708823637578809
1,2.038085365982674,0.10074038282804322,0.1008635539260372,0.0001231710979939793
1,2.2778601149155913,0.08414147065020798,0.0846282775054268,0.0004868068552188187
1,2.5176348638485075,0.07117096389818088,0.07140296224374393,0.00023199834556304755
1,2.7574096127814243,0.05972271919261366,0.06051952818816059,0.0007968089955469257
1,2.997184361714341,0.051965438627092506,0.05149001544344323,0.00047542318364927894
1,3.2369591106472573,0.044771186489714135,0.043948567025870536,0.0008226194638435991
1,3.4767338595801744,0.038577873780144926,0.0376150096101036,0.000962864170041329
1,3.7165086085130907,0.03144618035700462,0.03227103571319984,0.0008248553561952254
1,3.956283357446007,0.02779692202645047,0.02774408176801309,5.284025843737758e-05
1,4.196058106378924,0.02435619274335632,0.023896091818997,0.00046010092435931974
1,4.4358328553118405,0.02026902341313564,0.020615487697836925,0.00034646428470128457
1,4.675607604244757,0.01807946841480302,0.017811305250018627,0.0002681631647843928
1,4.915382353177674,0.015910766321216557,0.015408831165173536,0.0005019351560430207
1,5.155157102110591,0.0131581828947413,0.013346302742768417,0.00018811984802711776
1,5.394931851043507,0.01215724346693218,0.011572375514753758,0.0005848679521784222
1,5.634706599976424,0.010071952992329746,0.010044155333125025,2.7797659204721603e-05
1,5.87448134890934,0.008987601945536449,0.008725651918714723,0.0002619500268217258
1,6.114256097842257,0.00767386894653695,0.007586551512648316,8.731743388863417e-05
1,6.354030846775174,0.006589517899743661,0.006601234170764142,1.171627102048052e-05
1,6.5938055957080906,0.005150667472268008,0.005747980736173305,0.0005973132639052973
1,6.833580344641007,0.005088108758029916,0.005008328371550969,7.978038647894672e-05
1,7.073355093573924,0.004379109996665107,0.004366543515331524,1.2566481333583547e-05
1,7.313129842506841,0.004170580949204849,0.003809188422363969,0.00036139252684088026
1,7.5529045914397575,0.003586699616316183,0.0033247628503788795,0.00026193676593730354
1,7.792679340372674,0.00260661309325304,0.002903406498125051,0.000296793404872011
1,8.03245408930559,0.0027317305217291863,0.002536650862602654,0.00019507965912653235
1,8.272228838238508,0.0019184672366342232,0.002217211523493323,0.00029874428685909993
1,8.512003587171424,0.0019184672366342375,0.0019388136689574504,2.03464323232129e-05
1,8.75177833610434,0.0017933498081580915,0.0016960450824668812,9.730472569121035e-05
1,8.991553085037257,0.0013762917132376052,0.001484231912788347,0.00010794019955074176
1,9.231327833970173,0.0012720271895074742,0.001299333420332758,2.7306230825283745e-05
1,9.471102582903091,0.0009592336183171187,0.0011378525860834799,0.00017861896776636115
1,9.710877331836008,0.001042645237301216,0.0009967600241187066,4.588521318250947e-05
1,9.950652080768924,0.0010843510467932647,0.0008734290855202844,0.00021092196127298025
1,10.19042682970184,0.0007298516661108512,0.0007655804032134418,3.5728737102590615e-05
1,10.430201578634758,0.0007715574756028942,0.000671234421677112,0.00010032305392578217
1,10.669976327567674,0.0007298516661108512,0.0005886706961761836,0.0001411809699346676
1,10.90975107650059,0.00047961680915855937,0.0005163929438488874,3.6776134690327984e-05
1,11.149525825433507,0.0005004697139045837,0.0004530989919905992,4.737072191398451e-05
1,11.389300574366423,0.0002919406664443405,0.0003976549038031973,0.00010571423735885682
1,11.62907532329934,0.0004170580949204833,0.0003490726739601937,6.798542096028958e-05
1,11.868850072232258,0.00037535228542843774,0.0003064909797486172,6.886130567982052e-05
1,12.108624821165174,0.0003127935711903648,0.0002691585516393053,4.363501955105954e-05
1,12.34839957009809,0.00033364647593638915,0.00023641979260842985,9.72266833279593e-05
1,12.588174319031008,0.00016682323796819333,0.0002077023305717246,4.0879092603531274e-05
1,12.827949067963925,0.00014597033322217025,0.00018250623467763245,3.65359014554622e-05
1,13.06772381689684,0.00010426452373012161,0.0001603946653890178,5.613014165889618e-05
1,13.307498565829757,0.00010426452373012161,0.00014098576145608497,3.672123772596336e-05
1,13.547273314762673,8.341161898409729e-05,0.00012394559502548408,4.053397604138679e-05
1,13.78704806369559,8.341161898409666e-05,0.00010898205005131081,2.557043106721415e-05
1,14.026822812628508,0.00020852904746024322,9.583949954294073e-05,0.00011268954791730249
1,14.266597561561424,4.170580949204864e-05,8.429417455916807e-05,4.2588365067119424e-05
1,14.50637231049434,0.00014597033322217025,7.415013270191391e-05,7.182020052025634e-05
1,14.746147059427258,4.170580949204833e-05,6.523574656351563e-05,2.35299370714673e-05
1,14.985921808360175,6.255871423807296e-05,5.740064346407196e-05,5.158070774000999e-06
1,15.225696557293091,2.085290474602432e-05,5.0513037152224875e-05,2.9660132406200554e-05
1,15.465471306226007,4.170580949204864e-05,4.445740016367954e-05,2.751590671630898e-06
1,15.705246055158923,2.085290474602432e-05,3.913243243033045e-05,1.827952768430613e-05
1,15.94502080409184,2.085290474602432e-05,3.444928767276163e-05,1.359638292673731e-05
1,16.184795553024756,0.0,3.0330024228749323e-05,3.0330024228749323e-05
