component,empirical,planted
s0_trace_over_3,0.16542676641332552,0.16666666666666666
rotor_energy_frobenius_squared,0.8744749906144483,0.8700000000000001
e12_bivector,-0.051212474849833975,-0.05000000000000002
e13_bivector,0.10035731234549389,0.09999999999999998
e23_bivector,0.6515697871953305,0.65
spin2_energy_frobenius_squared,1.6446812330282883,1.6366666666666665
det_M,4.483277388005369e-05,0.0
