horizon,bin_centre,empirical_density,analytical_density_N_0_n,abs_diff
1,-4.53825373204576,4.485394030655616e-05,1.3446227138461663e-05,3.14077131680945e-05
1,-4.426780805345736,4.485394030655616e-05,2.2161972628988336e-05,2.2691967677567826e-05
1,-4.3153078786457115,0.0,3.607611388147889e-05,3.607611388147889e-05
1,-4.203834951945686,4.485394030655616e-05,5.800086203796503e-05,1.314692173140887e-05
1,-4.092362025245662,0.00013456182091966848,9.209849037013817e-05,4.246333054953031e-05
1,-3.9808890985456378,0.00013456182091966848,0.0001444354965596444,9.873675639975911e-06
1,-3.8694161718456135,0.00022426970153277992,0.00022371686779338383,5.528337393960892e-07
1,-3.7579432451455888,0.0003588315224524493,0.00034223694126345915,1.6594581188990147e-05
1,-3.646470318445564,0.0003139775821458919,0.0005170807920077033,0.0002031032098618114
1,-3.5349973917455397,0.0007625169852114547,0.0007716019011507788,9.084915939324084e-06
1,-3.4235244650455154,0.001345618209196685,0.0011371860848512444,0.00020843212434544056
1,-3.312051538345491,0.0018390115525687952,0.0016552864070055262,0.00018372514556326894
1,-3.200578611645466,0.003184629761765475,0.002379677611407165,0.0008049521503583098
1,-3.0891056849454417,0.0032294837020720437,0.0033788309584817594,0.0001493472564097157
1,-2.9776327582454174,0.00538247283678674,0.004738252156212635,0.0006442206805741049
1,-2.866159831545393,0.006593529225063756,0.006562559245713944,3.09699793498118e-05
1,-2.754686904845369,0.009419327464376756,0.008977009184729191,0.00044231827964756436
1,-2.643213978145344,0.012424541464916058,0.01212811945830757,0.0002964220066084874
1,-2.5317410514453194,0.015788586987907707,0.01618298481154942,0.0003943978236417116
1,-2.420268124745295,0.020991644063468283,0.021326871448332365,0.000335227384864082
1,-2.308795198045271,0.028213128452823713,0.027758694668890794,0.0004544337839329192
1,-2.197322271345246,0.03449268009574169,0.035684062613021636,0.0011913825172799458
1,-2.0858493446452218,0.045212771829008604,0.04530570675558379,9.293492657518748e-05
1,-1.9743764179451972,0.05691965024901954,0.05681132137843702,0.00010832887058252055
1,-1.8629034912451727,0.07190086631140953,0.07035909356227753,0.0015417727491320032
1,-1.7514305645451482,0.08634383509012027,0.08606150667899477,0.0002823284111254931
1,-1.6399576378451237,0.10285008512293328,0.1039683180726476,0.0011182329497143179
1,-1.5284847111450994,0.12455939223130646,0.12404991062665849,0.0005094816046479766
1,-1.417011784445075,0.14622384539937253,0.1461824570282846,4.138837108791371e-05
1,-1.3055388577450504,0.17398843444913134,0.1701364719605579,0.003851962488573446
1,-1.194065931045026,0.19520434821413163,0.19557032275563582,0.00036597454150419373
1,-1.0825930043450014,0.2238660160700218,0.22203009577745955,0.001835920292562243
1,-0.9711200776449771,0.2502401329702768,0.2489568636676944,0.0012832693025824071
1,-0.8596471509449526,0.27091779945159816,0.27570187909043453,0.004784079638836369
1,-0.7481742242449281,0.2981441412176788,0.30154956907577424,0.0034054278580954445
1,-0.6367012975449038,0.31940490892298645,0.32574747825679856,0.006342569333812109
1,-0.5252283708448791,0.3525071168692221,0.34754158433878746,0.004965532530434635
1,-0.4137554441448543,0.36282352313973276,0.36621476905493794,0.0033912459152051766
1,-0.30228251744483003,0.3787018180082537,0.3811257547397849,0.0024239367315311844
1,-0.19080959074480575,0.39197858433899435,0.3917455789621451,0.00023300537684922684
1,-0.07933666404478146,0.3956566074441319,0.3976887215601077,0.002032114115975814
1,0.032136262655243275,0.4018464512064335,0.39873633187764695,0.0031101193287865203
1,0.143609189355268,0.39449040499616145,0.3948496052292605,0.00035920023309904403
1,0.2550821160552923,0.3837703132628945,0.3861721686569658,0.002401855394071284
1,0.3665550427553166,0.37650397493323245,0.3730212714719794,0.003482703461253067
1,0.4780279694553409,0.35380788113811495,0.35586853394823786,0.0020606528101229094
1,0.5895008961553656,0.33259196737311125,0.3353118829143974,0.002719915541286144
1,0.7009738228553903,0.31541290823570295,0.31204100192869205,0.0033719063070108968
1,0.8124467495554146,0.2864372627976676,0.28679907553622636,0.0003618127385587311
1,0.9239196762554389,0.2641448544653093,0.2603437730446676,0.003801081420641672
1,1.0353926029554632,0.22884480344404953,0.2334102942867635,0.0045654908427139596
1,1.146865529655488,0.20901936182855008,0.20667891923228632,0.0023404425962637587
1,1.2583384563555127,0.179684884868064,0.18074892442628598,0.0010640395582219853
1,1.369811383055537,0.1536695994902614,0.15612002980187276,0.0024504303116113513
1,1.4812843097555612,0.13590743912886516,0.13318180405930716,0.0027256350695580023
1,1.5927572364555855,0.11410842413987889,0.11221076560693913,0.0018976585329397583
1,1.7042301631556103,0.09674994924124086,0.09337433496879056,0.0033756142724502974
1,1.815703089855635,0.07580315911807992,0.07674036879053499,0.0009372096724550721
1,1.9271760165556593,0.06162931398120817,0.06229075664855962,0.0006614426673514501
1,2.0386489432556836,0.05037097496426257,0.04993748828127878,0.00043348668298379134
1,2.150121869955708,0.04014427657436776,0.03953967973536631,0.0006045968390014506
1,2.2615947966557326,0.03027640970692517,0.030920247667968775,0.0006438379610436071
1,2.3730677233557573,0.024983644750751783,0.02388119993893327,0.0011024448118185128
1,2.4845406500557816,0.019466610093045376,0.018216825132922797,0.001249784960122579
1,2.596013576755806,0.013904721495032411,0.013724375705557915,0.00018034578947449635
1,2.70748650345583,0.009912720807748911,0.010212119105297962,0.0002993982975490507
1,2.818959430155855,0.00695236074751615,0.007504858504013126,0.0005524977564969761
1,2.9304323568558797,0.00538247283678674,0.005447189822117265,6.471698533052489e-05
1,3.041905283555904,0.0034537534036048244,0.003904863660957536,0.0004511102573527114
1,3.1533782102559282,0.0025566745974737013,0.002764665572309368,0.00020799097483566696
1,3.2648511369559525,0.0029155061199261506,0.0019332263140224902,0.0009822798059036604
1,3.376324063655977,0.001390472149503241,0.001335137996087941,5.533415341529998e-05
1,3.487796990356001,0.0008522248658245672,0.0009106950523785432,5.847018655397607e-05
1,3.5992699170560263,0.0003588315224524436,0.0006135121429394045,0.00025468062048696093
1,3.7107428437560515,0.00026912364183933696,0.00040820348936585914,0.00013907984752652218
1,3.8222157704560757,0.00026912364183933696,0.00026824622984979304,8.774119895439193e-07
1,3.9336886971561,0.00022426970153278082,0.00017409804920626295,5.017165232651787e-05
1,4.045161623856124,0.00013456182091966848,0.00011159829178013446,2.2963529139534018e-05
1,4.156634550556149,4.485394030655616e-05,7.065201512149703e-05,2.579807481494087e-05
1,4.268107477256173,8.97078806131116e-05,4.417686810522018e-05,4.5531012507891426e-05
10,-14.26729579359949,1.4110823122817863e-05,4.794613091832142e-06,9.31621003098572e-06
10,-13.91295785338998,2.8221646245635584e-05,7.89918560948612e-06,2.0322460636149463e-05
10,-13.558619913180468,2.8221646245635584e-05,1.2851631660587308e-05,1.5370014585048274e-05
10,-13.204281972970957,0.0,2.0648163011647488e-05,2.0648163011647488e-05
10,-12.84994403276145,2.8221646245635726e-05,3.2760594174249656e-05,4.5389479286139296e-06
10,-12.495606092551938,1.4110823122817792e-05,5.132977007698402e-05,3.7218946954166226e-05
10,-12.141268152342427,7.055411561408897e-05,7.942076523168757e-05,8.866649617598598e-06
10,-11.786930212132916,0.00021166234684226793,0.00012135174196813607,9.031060487413186e-05
10,-11.432592271923408,0.0001975515237194501,0.00018310709046139687,1.4444433258053226e-05
10,-11.078254331713897,0.0003527705780704448,0.0002728421782457089,7.992839982473587e-05
10,-10.723916391504385,0.0004374355168073516,0.0004014810521673044,3.595446464004718e-05
10,-10.369578451294874,0.0005644329249127146,0.0005833991587092249,1.896623379651029e-05
10,-10.015240511085366,0.0007902060948778004,0.0008371701651903927,4.696407031259226e-05
10,-9.660902570875855,0.00121353078856233,0.0011863392142664512,2.7191574295878842e-05
10,-9.306564630666344,0.0016791879516153173,0.0016601649054083715,1.9023046206945778e-05
10,-8.952226690456833,0.002074290999054226,0.002294250162196765,0.00021995916314253901
10,-8.597888750247325,0.0032454893182481083,0.003130959951180197,0.00011452936706791116
10,-8.243550810037814,0.004303801052459427,0.004219504488625485,8.429656383394154e-05
10,-7.889212869828302,0.0050940071473372355,0.005615553811270982,0.0005215466639337469
10,-7.534874929618793,0.0072670739082511815,0.0073802476062397185,0.00011317369798853703
10,-7.180536989409282,0.009087370091094681,0.009578477231393072,0.0004911071402983903
10,-6.826199049199772,0.011726094015061615,0.012276348515163028,0.0005502545001014134
10,-6.471861108990262,0.015493683788854015,0.015537786385808538,4.4102596954522996e-05
10,-6.117523168780751,0.019218941093277833,0.019420315585114648,0.00020137449183681502
10,-5.76318522857124,0.024623386349317048,0.023970142667301256,0.0006532436820157923
10,-5.40884728836173,0.029364622918583973,0.029216766796457107,0.00014785612212686594
10,-5.05450934815222,0.034627959943395036,0.035167450804317775,0.0005394908609227395
10,-4.70017140794271,0.04213491784473393,0.041801977042443914,0.000332940802290016
10,-4.345833467733199,0.04910566446740592,0.049068180651359976,3.7483816045943974e-05
10,-3.9914955275236883,0.05829181032036059,0.05687878201164637,0.0014130283087142245
10,-3.637157587314179,0.064303020970681,0.06511001863994192,0.0008069976692609282
10,-3.2828196471046684,0.07443459197286385,0.07360249742099527,0.000832094551868584
10,-2.928481706895157,0.08095379225560567,0.08216455000540036,0.0012107577497946914
10,-2.574143766685647,0.09018227057792896,0.09057818430351527,0.000395913725586311
10,-2.2198058264761373,0.0996929653627082,0.09860749805674673,0.0010854673059614711
10,-1.865467886266627,0.10481519415629056,0.10600917824131575,0.0011939840850251904
10,-1.5111299460571157,0.11209637888766454,0.1125444791340667,0.0004481002464021694
10,-1.1567920058476053,0.1173879375587218,0.11799188041323282,0.0006039428545110137
10,-0.8024540656380958,0.12253838799855034,0.12215950061058758,0.00037888738796275356
10,-0.4481161254285855,0.12434457335827039,0.1248963003988192,0.0005517270405488162
10,-0.09377818521907422,0.12647530764981588,0.12610116503173338,0.0003741426180824958
10,0.26055975499043615,0.12358258890963886,0.12572910472754908,0.0021465158179102273
10,0.6148976951999456,0.12177640354991816,0.123794042918505,0.0020176393685868432
10,0.969235635409456,0.12073220263882904,0.12036795144538785,0.0003642511934411896
10,1.3235735756189673,0.11635784747075552,0.11557640758520628,0.0007814398855492399
10,1.6779115158284768,0.10830056746762765,0.10959095530651157,0.0012903878388839246
10,2.0322494560379862,0.1030231196196927,0.10261891851284094,0.0004042011068517565
10,2.3865873962474975,0.09562904830333618,0.09489150907598516,0.0007375392273510223
10,2.7409253364570088,0.08628768339603081,0.08665117828486904,0.0003634948888382311
10,3.09526327666652,0.07841384409349847,0.0781391695371423,0.000274674556356172
10,3.4496012168760295,0.07226152521195064,0.06958414721565177,0.0026773779962988714
10,3.803939157085539,0.06236983820285465,0.06119261692374728,0.0011772212791073683
10,4.15827709729505,0.05359290622046197,0.05314163875947592,0.00045126746098605314
10,4.51261503750456,0.04562029115607038,0.04557409556763491,4.6195588435465895e-05
10,4.866952977714069,0.03800044666974832,0.03859653999108524,0.0005960933213369213
10,5.2212909179235805,0.032398449889989654,0.03227943230951581,0.00011901758047384164
10,5.575628858133092,0.026330795947178003,0.026659414188861984,0.00032861824168398113
10,5.929966798342603,0.021801221724753492,0.02174315266151429,5.806906323920294e-05
10,6.2843047385521125,0.0176244180803996,0.01751223705647793,0.00011218102392166959
