horizon,var_empirical,var_hypergeometric_closed_form,var_iid_prediction,var_hypergeometric_prediction,finite_population_correction
5,1.1966994524,1.1994949494949243,1.25,1.1994949494949494,0.9595959595959596
10,2.2711687679000003,2.2727272727275154,2.5,2.272727272727273,0.9090909090909091
50,6.275749987899999,6.313131313131947,12.5,6.313131313131313,0.5050505050505051
99,0.2499996975,0.25000000000000666,24.75,0.25,0.010101010101010102
