horizon,mean_empirical,mean_predicted,var_empirical,var_predicted,skew_empirical,skew_predicted_sqrt_8_over_n,excess_kurt_empirical,excess_kurt_predicted_12_over_n,l1_density_distance
1,1.003157850547499,1.0,2.0020645635947165,2.0,2.803178240426401,2.8284271247461903,11.564544550000758,12.0,0.12239239992631676
2,1.9979517515314005,2.0,3.9975632459403716,4.0,2.003924931479616,2.0,5.9679589689053785,6.0,0.008840585211821572
10,9.991594547652053,10.0,20.048704842347316,20.0,0.9111253669474244,0.8944271909999159,1.2775882885708212,1.2,0.009873563617614475
100,99.96943017766813,100.0,199.9243681515938,200.0,0.2750575820209753,0.282842712474619,0.10347360850367648,0.12,0.011187029820822723
