horizon,k,p_path_count,p_empirical,abs_diff
5,0,0.16806999999999994,0.168205,0.00013500000000005175
5,1,0.3601499999999999,0.35918,0.0009699999999999154
5,2,0.3086999999999999,0.31034,0.0016400000000000858
5,3,0.13229999999999997,0.13173,0.0005699999999999594
5,4,0.028349999999999993,0.027975,0.0003749999999999934
5,5,0.0024299999999999994,0.00257,0.00014000000000000037
10,0,0.028247524899999984,0.02748,0.0007675248999999829
10,1,0.12106082099999993,0.121145,8.417900000007306e-05
10,2,0.23347444049999988,0.23452,0.001045559500000126
10,3,0.2668279319999998,0.26634,0.0004879319999998022
10,4,0.2001209489999999,0.20012,9.489999999168219e-07
10,5,0.10291934519999994,0.10398,0.0010606548000000604
10,6,0.03675690899999999,0.03644,0.0003169089999999902
10,7,0.009001691999999995,0.008355,0.0006466919999999956
10,8,0.0014467004999999993,0.001505,5.829950000000076e-05
10,9,0.00013778099999999996,0.0001,3.7780999999999956e-05
10,10,5.9048999999999975e-06,1.5e-05,9.095100000000004e-06
50,0,1.7984650426474064e-08,0.0,1.7984650426474064e-08
50,1,3.853853662815871e-07,0.0,3.853853662815871e-07
50,2,4.046546345956665e-06,1.5e-05,1.0953453654043335e-05
50,3,2.774774637227427e-05,1.5e-05,1.2747746372274271e-05
50,4,0.00013972972280323833,0.000155,1.5270277196761673e-05
50,5,0.0005509343356241968,0.000605,5.406566437580313e-05
50,6,0.001770860364506347,0.001675,9.586036450634689e-05
50,7,0.004770480981935465,0.004675,9.548098193546458e-05
50,8,0.010989143690529909,0.0105,0.0004891436905299085
50,9,0.02197828738105982,0.02226,0.0002817126189401768
50,10,0.03861899068386226,0.03821,0.00040899068386225645
50,11,0.06018544002679833,0.05982,0.00036544002679832904
50,12,0.08382972003732625,0.08291,0.0009197200373262521
50,13,0.10501745147533177,0.104865,0.00015245147533177184
50,14,0.11894833789552885,0.119175,0.00022666210447115642
50,15,0.1223468618354011,0.123095,0.0007481381645988994
50,16,0.11470018297068854,0.11454,0.00016018297068853826
50,17,0.09831444254630448,0.09932,0.0010055574536955297
50,18,0.0772470620006678,0.07751,0.0002629379993321912
50,19,0.0557572778350685,0.055645,0.00011227783506850136
50,20,0.037038763133295495,0.036585,0.00045376313329549556
50,21,0.02267679375507888,0.023005,0.0003282062449211226
50,22,0.01281091595254456,0.01294,0.00012908404745544041
50,23,0.006683956149153683,0.00677,8.604385084631707e-05
50,24,0.003222621714770527,0.00335,0.00012737828522947333
50,25,0.0014363685357262918,0.001475,3.8631464273708145e-05
50,26,0.0005919101108762191,0.00054,5.191011087621908e-05
50,27,0.00022548956604808354,0.00024,1.451043395191647e-05
50,28,7.938153090468244e-05,7e-05,9.38153090468245e-06
