horizon,k,p_empirical,p_markov_DP,p_iid_path_count,abs_diff_emp_vs_markov,abs_diff_emp_vs_iid
5,0,0.11978,0.12004999999999996,0.03125,0.0002699999999999647,0.08853
5,1,0.16653,0.16904999999999998,0.15625000000000022,0.0025199999999999667,0.01027999999999979
5,2,0.21417,0.2109,0.31250000000000017,0.003269999999999995,0.09833000000000017
5,3,0.21061,0.2109,0.3125000000000003,0.00029000000000001247,0.10189000000000029
5,4,0.1687,0.16904999999999998,0.15625000000000022,0.0003499999999999892,0.012449999999999767
5,5,0.12021,0.12004999999999996,0.03125,0.00016000000000003511,0.08896
10,0,0.02036,0.02017680349999999,0.0009765625,0.0001831965000000102,0.0193834375
10,1,0.04612,0.04694195099999998,0.00976562500000001,0.0008219509999999805,0.036354374999999994
10,2,0.08274,0.0834719655,0.04394531249999999,0.0007319655000000008,0.0387946875
10,3,0.12114,0.12081694799999998,0.11718749999999993,0.0003230520000000181,0.003952500000000067
10,4,0.1498,0.148911231,0.2050781249999997,0.0008887689999999837,0.055278124999999706
10,5,0.15923,0.159362202,0.24609374999999936,0.00013220199999999793,0.08686374999999935
10,6,0.14811,0.148911231,0.2050781249999995,0.0008012310000000133,0.05696812499999951
10,7,0.12119,0.12081694799999998,0.11718749999999982,0.0003730520000000265,0.0040025000000001865
10,8,0.08421,0.0834719655,0.043945312500000035,0.0007380344999999983,0.04026468749999996
10,9,0.04673,0.04694195099999998,0.00976562500000001,0.00021195099999998107,0.036964374999999994
10,10,0.02037,0.02017680349999999,0.0009765625,0.0001931965000000098,0.0193934375
50,0,0.0,1.2846178876052903e-08,8.881784197001244e-16,1.2846178876052903e-08,8.881784197001244e-16
50,1,0.0,1.2426711810712406e-07,4.440892098500656e-14,1.2426711810712406e-07,4.440892098500656e-14
50,2,0.0,6.87802929218338e-07,1.088018564132682e-12,6.87802929218338e-07,1.088018564132682e-12
50,3,0.0,2.8201551734862893e-06,1.740829702612298e-11,2.8201551734862893e-06,1.740829702612298e-11
50,4,0.0,9.460100249204772e-06,2.0454749005693933e-10,9.460100249204772e-06,2.0454749005693933e-10
50,5,3e-05,2.733412160250253e-05,1.8818369085238804e-09,2.6658783974974722e-06,2.9998118163091477e-05
50,6,0.0001,7.01755144846737e-05,1.4113776813929081e-08,2.982448551532631e-05,9.998588622318608e-05
