horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
10000,100.0,136,9.587307602669009e-05,8e-05,0.00010166800707281834,1.5873076026690086e-05,5.794931046128248e-06
10000,100.0,137,6.972587347460324e-05,5.5e-05,7.421022414075223e-05,1.4725873474603233e-05,4.4843506661489975e-06
10000,100.0,138,5.0337160743695016e-05,5e-05,5.377552473967415e-05,3.3716074369501375e-07,3.4383639959791336e-06
10000,100.0,139,3.6074782301213264e-05,2e-05,3.868742787026467e-05,1.6074782301213262e-05,2.6126455690514037e-06
10000,100.0,140,2.5666192515963648e-05,2.5e-05,2.7633877050190836e-05,6.661925159636471e-07,1.9676845342271876e-06
10000,100.0,141,1.812942604827701e-05,2.5e-05,1.959849436183539e-05,6.870573951722992e-06,1.4690683135583817e-06
10000,100.0,142,1.2714327174057029e-05,1.5e-05,1.3801756592841645e-05,2.2856728259429713e-06,1.0874294187846157e-06
10000,100.0,143,8.853417904872835e-06,2e-05,9.651578036953783e-06,1.1146582095127167e-05,7.981601320809484e-07
10000,100.0,144,6.12150254557345e-06,1e-05,6.702484747884426e-06,3.878497454426551e-06,5.809822023109759e-07
10000,100.0,145,4.202962667242031e-06,0.0,4.6224032744028165e-06,4.202962667242031e-06,4.194406071607857e-07
10000,100.0,146,2.865656364050659e-06,5e-06,3.1660296400016104e-06,2.1343436359493414e-06,3.0037327595095145e-07
10000,100.0,147,1.9403681585820357e-06,0.0,2.153761659865211e-06,1.9403681585820357e-06,2.1339350128317537e-07
10000,100.0,148,1.3048353444012966e-06,0.0,1.4552443647737149e-06,1.3048353444012966e-06,1.5040902037241834e-07
10000,100.0,149,8.714824630896744e-07,0.0,9.766740703180607e-07,8.714824630896744e-07,1.0519160722838635e-07
10000,100.0,150,5.781127100262055e-07,0.0,6.511160468786359e-07,5.781127100262055e-07,7.300333685243046e-08
10000,100.0,151,3.809224826874296e-07,0.0,4.312026800521003e-07,3.809224826874296e-07,5.0280197364670684e-08
10000,100.0,152,2.493158912832074e-07,0.0,2.836859737184695e-07,2.493158912832074e-07,3.437008243526211e-08
10000,100.0,153,1.6209565573392455e-07,0.0,1.8541566909704625e-07,1.6209565573392455e-07,2.3320013363121695e-08
10000,100.0,154,1.0469342266889941e-07,0.0,1.2039978512793544e-07,1.0469342266889941e-07,1.570636245903603e-08
10000,100.0,155,6.717572105403729e-08,0.0,7.767728072771603e-08,6.717572105403729e-08,1.0501559673678746e-08
10000,100.0,156,4.282212987432398e-08,0.0,4.9793128671610785e-08,4.282212987432398e-08,6.970998797286804e-09
10000,100.0,157,2.7120957761384716e-08,0.0,3.1715368580642205e-08,2.7120957761384716e-08,4.594410819257489e-09
10000,100.0,158,1.7066333412860845e-08,0.0,2.0073018089016823e-08,1.7066333412860845e-08,3.0066846761559783e-09
10000,100.0,159,1.0670659643731036e-08,0.0,1.2624539678625525e-08,1.0670659643731036e-08,1.9538800348944887e-09
