horizon,closed_form_skew_of_standardised_marginal,path_count_skew_cross_check
5,0.39036002917941337,0.3903600291794133
10,0.27602622373694174,0.2760262237369417
50,0.12344267996967354,0.12344267996967345
500,0.039036002917941334,0.03903600291794102
