horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
1,-49.5,0.0001621386082427215,0.00012985614938655407,3.228245885616743e-05
1,-48.5,0.0001520049452275514,0.0001352639482349052,1.6740996992646215e-05
1,-47.5,0.00011653712467445607,0.0001410166734671794,2.4479548792723322e-05
1,-46.5,0.0001317376191972112,0.00014714429038890128,1.540667119169007e-05
1,-45.5,0.00016720543975030653,0.00015368008988957908,1.3525349860727456e-05
1,-44.5,0.00014693811371996635,0.00016066114129150317,1.3723027571536814e-05
1,-43.5,0.00010640346165928599,0.0001681288187950829,6.172535713579691e-05
1,-42.5,0.00015707177673513644,0.00017612941551184988,1.905763877671344e-05
1,-41.5,0.00020267326030340188,0.000184714862140601,1.7958398162800873e-05
1,-40.5,0.00020267326030340188,0.00019394357117062647,8.729689132775412e-06
1,-39.5,0.0002381410808564972,0.00020388143230346881,3.425964855302839e-05
1,-38.5,0.00019253959728823177,0.00021460299085372707,2.2063393565495307e-05
1,-37.5,0.0002381410808564972,0.00022619284859391772,1.1948232262579491e-05
1,-36.5,0.00025334157537925235,0.00023874733634636467,1.4594239032887684e-05
1,-35.5,0.00023307424934891215,0.00025237652026465065,1.9302270915738505e-05
1,-34.5,0.00025334157537925235,0.00026720662009132483,1.3865044712072481e-05
1,-33.5,0.00033947771100819815,0.00028338293895730307,5.609477205089508e-05
1,-32.5,0.0003698787000537084,0.0003010734321908637,6.880526786284466e-05
1,-31.5,0.0003040098904551028,0.00032047307947021464,1.646318901511181e-05
1,-30.5,0.00033441087950061306,0.0003418092737544061,7.398394253793064e-06
1,-29.5,0.00031921038497785797,0.00036534850638024756,4.613812140238959e-05
1,-28.5,0.00036481186854612336,0.0003914047171027245,2.6592848556601157e-05
1,-27.5,0.00046108166719023927,0.0004203498001766797,4.073186701355959e-05
1,-26.5,0.00045094800417506915,0.00045262692667442684,1.6789224993576848e-06
1,-25.5,0.000435747509652314,0.0004887675795528456,5.3020069900531575e-05
1,-24.5,0.0005624182973419402,0.0005294135321144128,3.300476522752739e-05
1,-23.5,0.0006181534439253757,0.0005753454788681259,4.280796505724978e-05
1,-22.5,0.0006282871069405458,0.0006275207219000309,7.663850405149062e-07
1,-21.5,0.0006941559165391514,0.0006871233376876216,7.032578851529883e-06
1,-20.5,0.0007448242316150019,0.0007556317772908978,1.0807545675895901e-05
1,-19.5,0.0008208267042287776,0.0008349111768755165,1.408447264673895e-05
1,-18.5,0.0008056262097060224,0.0009273412561800166,0.00012171504647399414
1,-17.5,0.0009373638289032337,0.0010359963748862186,9.863254598298492e-05
1,-16.5,0.0011501707522218055,0.001164903517598502,1.4732765376696422e-05
1,-15.5,0.0013427103495100374,0.0013194192173421376,2.3291132167899825e-05
1,-14.5,0.0013883118330783029,0.0015067923606333286,0.00011848052755502572
1,-13.5,0.0017125890495637457,0.0017370252997751198,2.4436250211374048e-05
1,-12.5,0.0021939380427843254,0.002024228211025696,0.0001697098317586295
1,-11.5,0.0023104751674587814,0.0023888171571016187,7.83419896428373e-05
1,-10.5,0.0029792969264600074,0.0028612124600790175,0.00011808446638098989
1,-9.5,0.0035467820553095326,0.0034883275198223634,5.845453548716925e-05
1,-8.5,0.004595616177379637,0.004345527456434003,0.00025008872094563466
1,-7.5,0.005659650793972498,0.005559998011943942,9.965278202855518e-05
1,-6.5,0.007701583891529271,0.007359766154538513,0.0003418177369907578
1,-5.5,0.01027046746587489,0.010185916357881302,8.455110799358671e-05
1,-4.5,0.015352499467982691,0.014979288761590149,0.00037321070639254224
1,-3.5,0.02478693973510605,0.024023387636512503,0.0007635520985935472
1,-2.5,0.045424144465499944,0.043904811887419404,0.00151933257808054
1,-1.5,0.10437672905625196,0.09794150344116635,0.00643522561508561
1,-0.5,0.2531845036025172,0.25464790894703254,0.0014634053445153339
1,0.5,0.25224713977361396,0.25464790894703254,0.002400769173418582
1,1.5,0.10424499143705475,0.09794150344116635,0.006303487995888396
1,2.5,0.04553561475866681,0.043904811887419404,0.0016308028712474082
1,3.5,0.02530882338038731,0.024023387636512503,0.001285435743874807
1,4.5,0.015205561354262726,0.014979288761590149,0.00022627259267257727
1,5.5,0.010143796678185263,0.010185916357881302,4.211967969603922e-05
1,6.5,0.007433041821627263,0.007359766154538513,7.327566708874994e-05
1,7.5,0.006029529494026206,0.005559998011943942,0.00046953148208226346
1,8.5,0.004403076580091406,0.004345527456434003,5.754912365740338e-05
1,9.5,0.003724121158075009,0.0034883275198223634,0.00023579363825264581
1,10.5,0.002938762274399327,0.0028612124600790175,7.754981432030964e-05
1,11.5,0.0024422127866559925,0.0023888171571016187,5.339562955437383e-05
1,12.5,0.002057133592079529,0.002024228211025696,3.290538105383319e-05
1,13.5,0.0017480568701168412,0.0017370252997751198,1.1031570341721439e-05
1,14.5,0.0015504504413210243,0.0015067923606333286,4.3658080687695696e-05
1,15.5,0.0014491138111693235,0.0013194192173421376,0.00012969459382718585
1,16.5,0.001099502437145955,0.001164903517598502,6.540108045254684e-05
1,17.5,0.0010640346165928598,0.0010359963748862186,2.8038241706641225e-05
