horizon,marginal_skew,marginal_skew_predicted,marginal_excess_kurt,marginal_excess_kurt_predicted
1,0.0,0.0,-1.2685714285714282,-1.2685714285714282
2,2.2694860972288086e-15,0.0,-0.6342857142857139,-0.6342857142857141
5,5.6397255914713414e-15,0.0,-0.253714285714286,-0.25371428571428567
50,1.0651454749660584e-13,0.0,-0.02537142857142083,-0.025371428571428566
500,3.968453017679912e-12,0.0,-0.0025371428570544197,-0.0025371428571428563
