lag,empirical_acf,predicted_phi_power_k
0,1.0,1.0
1,0.698186493402648,0.7
2,0.4887733616570288,0.48999999999999994
3,0.3410385386477714,0.3429999999999999
4,0.23767532252304907,0.24009999999999995
5,0.16767737236613647,0.16806999999999994
6,0.11940594769849552,0.11764899999999996
7,0.08388825625776479,0.08235429999999996
8,0.05839059102386051,0.05764800999999997
9,0.040073287754284495,0.04035360699999998
10,0.029610996514014346,0.028247524899999984
