horizon,lambda,marginal_skew_measured,marginal_skew_predicted_binomial,marginal_skew_predicted_rare_event,marginal_excess_kurt_measured,marginal_excess_kurt_predicted_rare_event
100,1.0,0.9849370589541385,0.9849370589540278,1.0,0.9501010101012723,1.0
500,5.0,0.4404564646610073,0.44047724347598477,0.4472135954999579,0.18986050297705637,0.2
1000,10.0,0.3113416014343478,0.3114644458202268,0.31622776601683794,0.0942220095851547,0.1
10000,100.0,0.09849058459894049,0.09849370589540278,0.1,0.009479929571773127,0.01
