horizon,lambda,tv_emp_vs_path_count,tv_path_count_vs_rare_event
100,1.0,0.0012269139845924675,0.002775294717419029
500,5.0,0.0017420407835330228,0.002462126152354787
1000,10.0,0.0032214680060515368,0.0024578538181160544
10000,100.0,0.0068019577642942945,0.002435269737677004
