horizon,x,empirical_density,analytical_gamma_density,abs_diff
1,0.07638901359246572,0.9313682130935543,0.9264557325764986,0.004912480517055728
1,0.2291588826943949,0.7921064586319781,0.7952021796027515,0.0030957209707733746
1,0.38192875179632413,0.6904830161870442,0.6825436814842668,0.007939334702777412
1,0.5346986208982533,0.5833611072909833,0.5858458252300348,0.002484717939051473
1,0.6874684900001825,0.5001640732507184,0.5028474224434994,0.002683349192781015
1,0.8402383591021116,0.4288149252539535,0.4316076335591986,0.0027927083052451396
1,0.9930082282040409,0.37196470962533795,0.37046058313543945,0.0015041264898985052
1,1.1457780973059701,0.3180928299910831,0.317976404924326,0.00011642506675713094
1,1.2985479664078994,0.2683775291621444,0.2729278057947497,0.004550276632605266
1,1.4513178355098286,0.23708863673787486,0.23426136663713798,0.002827270100736884
1,1.6040877046117576,0.20354144559260712,0.20107290914861892,0.0024685364439882007
1,1.756857573713687,0.17582001056817556,0.1725863524740457,0.003233658094129871
1,1.9096274428156161,0.14574208992183282,0.14813556528532537,0.0023934753634925476
1,2.062397311917545,0.12479555106039752,0.12714878892699796,0.0023532378666004383
1,2.215167181019474,0.11026388972527616,0.1091352673779805,0.0011286223472956602
1,2.3679370501214034,0.09484854628193837,0.09367377138371072,0.0011747748982276485
1,2.5207069192233327,0.07835314692855777,0.08040274840631516,0.0020496014777573873
1,2.673476788325262,0.06931995204456365,0.06901186805865456,0.00030808398590909114
1,2.826246657427191,0.059566719887207666,0.0592347653201749,0.0003319545670327634
1,2.9790165265291204,0.04994440359773565,0.05084281184149417,0.0008984082437585167
1,3.1317863956310497,0.043529526071421104,0.04363976968554228,0.0001102436141211735
1,3.2845562647329785,0.03498726569199175,0.03745720248802054,0.0024699367960287905
1,3.4373261338349077,0.033776293914065,0.03215053673148498,0.001625757182580026
1,3.590096002936837,0.027917808826257218,0.027595681029653672,0.00032212779660354546
1,3.742865872038766,0.02379395898791207,0.02368612436708189,0.00010783462083018003
1,3.8956357411406954,0.020259230555044805,0.020330445439269932,7.121488422512715e-05
1,4.048405610242624,0.01845913737164023,0.0174501748514653,0.0010089625201749296
1,4.2011754793445535,0.015480801377279793,0.01497796018568921,0.0005028411915905823
1,4.353945348446483,0.012862484019600336,0.012855991027806424,6.49299179391119e-06
1,4.506715217548412,0.010866017034369749,0.011034647125377845,0.00016863009100809637
1,4.659485086650341,0.009164110751878101,0.009471338064739272,0.0003072273128611712
1,4.8122549557522705,0.00873863418125519,0.008129507334246302,0.0006091268470088881
1,4.9650248248542,0.006873083063908577,0.006977777484641365,0.00010469442073278868
1,5.117794693956129,0.007200372733618509,0.005989216396922291,0.0012111563366962175
1,5.270564563058058,0.005334821616271895,0.005140707500076791,0.00019411411619510346
1,5.4233344321599875,0.0049748029795909695,0.0044124092118170725,0.000562393767773897
1,5.576104301261917,0.003403812564983295,0.003787290961844712,0.000383478396861417
1,5.728874170363846,0.0036001863668092544,0.003250734947986346,0.0003494514188229084
1,5.881644039465775,0.0025528594237374715,0.00279019431264206,0.00023733488890458846
1,6.034413908567704,0.0024874014897954847,0.0023948997463243186,9.250174347116618e-05
1,6.187183777669633,0.0020946538861435784,0.002055607657487213,3.9046228656365155e-05
1,6.339953646771562,0.0016691773155206543,0.0017643840198343912,9.520670431373691e-05
1,6.492723515873491,0.0016691773155206543,0.0015144188425783435,0.00015475847294231081
1,6.6454933849754205,0.0011455138439847626,0.001299866925212573,0.00015435308122781037
1,6.79826325407735,0.0011455138439847626,0.0011157111729968323,2.9802670987930362e-05
1,6.951033123179279,0.0009818690091297968,0.0009576452769166336,2.4223732213163123e-05
1,7.103802992281208,0.0010800559100427763,0.000821973014698258,0.00025808289534451833
1,7.2565728613831375,0.0008509531412458237,0.0007055218181282372,0.00014543132311758652
1,7.409342730485067,0.00045820553759390504,0.0006055685855303887,0.00014736304793648369
1,7.562112599586996,0.0007200372733618508,0.0005197760045949721,0.00020026126876687873
1,7.714882468688925,0.0005563924385068847,0.0004461378965292361,0.00011025454197764864
1,7.8676523377908545,0.0006545793394198644,0.0003829323034537342,0.00027164703596613016
1,8.020422206892784,0.0003927476036519209,0.0003286812220373066,6.40663816146143e-05
1,8.173192075994713,0.00042547657062291187,0.00028211604177966556,0.0001433605288432463
1,8.32596194509664,0.000294560702738939,0.00024214787974833693,5.241282299060207e-05
1,8.478731814198571,0.00022910276879695252,0.00020784211807568749,2.1260650721265036e-05
1,8.631501683300499,0.00019637380182595935,0.00017839654879937,1.797725302658934e-05
1,8.78427155240243,0.0001309158678839729,0.00015312261498382355,2.2206747099850664e-05
1,8.937041421504357,6.545793394198644e-05,0.0001314293094641254,6.597137552213896e-05
1,9.089811290606288,0.0001309158678839729,0.00011280935469944554,1.810651318452735e-05
1,9.242581159708216,6.545793394198644e-05,9.682734056499779e-05,3.136940662301135e-05
1,9.395351028810147,3.272896697099322e-05,8.31095426958959e-05,5.0380575724902684e-05
1,9.548120897912074,0.0001636448348549661,7.133518329447806e-05,9.230965156048803e-05
1,9.700890767014005,0.0,6.122893004328916e-05,6.122893004328916e-05
1,9.853660636115933,3.272896697099322e-05,5.2554457717868e-05,1.982549074687478e-05
1,10.006430505217864,9.818690091297967e-05,4.510892194370273e-05,5.307797896927694e-05
1,10.159200374319791,0.0,3.871821587136758e-05,3.871821587136758e-05
1,10.311970243421722,0.0,3.323289885164483e-05,3.323289885164483e-05
1,10.46474011252365,0.0,2.852470190653572e-05,2.852470190653572e-05
1,10.617509981625581,6.545793394198644e-05,2.448352827988246e-05,4.097440566210398e-05
1,10.770279850727508,3.272896697099322e-05,2.1014878928303855e-05,1.1714088042689367e-05
1,10.92304971982944,3.272896697099322e-05,1.803764274996839e-05,1.4691324221024833e-05
1,11.075819588931367,0.0,1.5482199877786704e-05,1.5482199877786704e-05
1,11.228589458033298,0.0,1.3288793684316529e-05,1.3288793684316529e-05
1,11.381359327135225,0.0,1.1406133429248599e-05,1.1406133429248599e-05
1,11.534129196237156,0.0,9.790194873697692e-06,9.790194873697692e-06
1,11.686899065339084,3.272896697099322e-05,8.403190814794027e-06,2.4325776156199195e-05
1,11.839668934441015,0.0,7.212687467493498e-06,7.212687467493498e-06
1,11.992438803542942,0.0,6.19084603102793e-06,6.19084603102793e-06
1,12.145208672644872,6.54579339419872e-05,5.313771704739231e-06,6.0144162237247974e-05
2,0.09601245682920596,0.08710417746242242,0.08722277559769791,0.0001185981352754828
2,0.2783228862784799,0.20917618435324176,0.21070499239777168,0.001528808044529928
2,0.4606333157277538,0.2870104587985677,0.2906061750415754,0.003595716243007696
2,0.6429437451770277,0.3365139349697492,0.33802284676322175,0.001508911793472567
2,0.8252541746263016,0.3667096841467413,0.3615633450905598,0.005146339056181504
2,1.0075646040755755,0.3664354266610282,0.3678689684768055,0.0014335418157773172
2,1.1898750335248494,0.3633088913239012,0.36203052563229793,0.0012783656916032782
2,1.3721854629741235,0.34507076852399216,0.34792067669864457,0.0028499081746524157
2,1.5544958924233971,0.3320983894497712,0.32845856456215483,0.003639824887616383
2,1.7368063218726713,0.3047000666270508,0.30582007433234476,0.0011200077052939683
2,1.9191167513219451,0.27902956596432144,0.2816044938702476,0.002574927905926172
2,2.1014271807712195,0.25952985873013307,0.2569662676501695,0.0025635910799635675
2,2.283737610220493,0.2319669814159855,0.2327188499190456,0.0007518685030600825
2,2.466048039669767,0.20980697657038128,0.20941629744783097,0.0003906791225503081
