horizon,sigma_predicted_sqrt_3n,body_window_2_sigma,l1_body_vs_gaussian,P_abs_S_gt_3sigma_empirical,P_abs_S_gt_3sigma_gaussian,tail_ratio_3sigma,P_abs_S_gt_5sigma_empirical,P_abs_S_gt_5sigma_gaussian,tail_ratio_5sigma
1,1.7320508075688772,3.4641016151377544,0.359601154976754,0.01403,0.002699796063260207,5.196688813249739,0.003465,5.733031437360481e-07,6043.9229016251575
10,5.477225575051661,10.954451150103322,0.13621196072889372,0.009105,0.002699796063260207,3.3724769525758282,0.00137,5.733031437360481e-07,2389.660714351072
100,17.320508075688775,34.64101615137755,0.045991973177047785,0.00527,0.002699796063260207,1.9519992905079204,0.00054,5.733031437360481e-07,941.9100625909335
1000,54.772255750516614,109.54451150103323,0.018916094280648214,0.003775,0.002699796063260207,1.3982537612272103,0.00016,5.733031437360481e-07,279.0844629899062
