horizon,var_empirical,var_predicted,skew_empirical,skew_predicted,excess_kurt_empirical,excess_kurt_predicted,l1_distance_hist_vs_density
1,1.003210811089547,1.0,-0.00556501978283844,0.0,-0.002737379413928931,0.0,0.010394063279232313
10,10.025011886862636,10.0,0.0031401473796030103,0.0,-0.0009429001287872829,0.0,0.011148871097422436
100,99.95936193900776,100.0,-0.0027896354849414103,0.0,-0.005275260672606308,0.0,0.011375970218659846
1000,1000.3709102767863,1000.0,-0.0008468843537296609,0.0,-0.0030748576560606367,0.0,0.013131629093007833
