horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
5,0,0.16806999999999994,0.16711179269263335,0.16806999999999994,0.0,0.0009582073073665931
5,1,0.3601499999999999,0.3594624373708818,0.3601499999999999,0.0,0.0006875626291181214
5,2,0.3086999999999999,0.30928575847014084,0.3086999999999999,0.0,0.000585758470140918
5,3,0.13229999999999997,0.13305657343795532,0.13229999999999997,0.0,0.000756573437955349
5,4,0.02835,0.028620864766974365,0.028349999999999993,6.938893903907228e-18,0.00027086476697437203
5,5,0.00243,0.002462573261414728,0.0024299999999999994,4.336808689942018e-19,3.2573261414728556e-05
10,0,0.028247524899999984,0.02792635125694566,0.028247524899999984,0.0,0.0003211736430543226
10,1,0.12106082099999994,0.12014082462942294,0.12106082099999993,1.3877787807814457e-17,0.000919996370576992
10,2,0.23347444049999988,0.23258383898510715,0.23347444049999988,0.0,0.0008906015148927304
10,3,0.2668279319999999,0.2668238702010688,0.2668279319999998,5.551115123125783e-17,4.06179893103209e-06
10,4,0.20012094899999994,0.2008811288241456,0.2001209489999999,2.7755575615628914e-17,0.0007601798241456958
10,5,0.10291934519999997,0.10370430815269391,0.10291934519999994,2.7755575615628914e-17,0.0007849629526939655
10,6,0.03675690899999999,0.03717850864360498,0.03675690899999999,0.0,0.0004215996436049904
10,7,0.009001691999999997,0.009139666067339309,0.009001691999999995,1.734723475976807e-18,0.00013797406733931372
10,8,0.0014467004999999997,0.0014744770200169825,0.0014467004999999993,4.336808689942018e-19,2.7776520016983223e-05
10,9,0.00013778099999999996,0.00014096195258743587,0.00013778099999999996,0.0,3.1809525874359134e-06
10,10,5.904899999999999e-06,6.064267067834771e-06,5.9048999999999975e-06,1.6940658945086007e-21,1.593670678347736e-07
50,0,1.7984650426474064e-08,1.6985212369764356e-08,1.7984650426474064e-08,0.0,9.99438056709708e-10
50,1,3.853853662815872e-07,3.65356970882803e-07,3.853853662815871e-07,1.0587911840678754e-22,2.002839539878412e-08
50,2,4.046546345956665e-06,3.850879194247575e-06,4.046546345956665e-06,0.0,1.9566715170908987e-07
50,3,2.7747746372274268e-05,2.6506738252395204e-05,2.774774637227427e-05,3.3881317890172014e-21,1.2410081198790677e-06
50,4,0.00013972972280323833,0.00013398943890055153,0.00013972972280323833,0.0,5.7402839026867965e-06
50,5,0.0005509343356241968,0.0005303160950169198,0.0005509343356241968,0.0,2.0618240607277074e-05
50,6,0.0017708603645063472,0.0017110885445626009,0.001770860364506347,2.168404344971009e-19,5.977181994374606e-05
50,7,0.004770480981935467,0.00462704296849357,0.004770480981935465,1.734723475976807e-18,0.00014343801344189524
50,8,0.010989143690529914,0.010699375102203097,0.010989143690529909,5.204170427930421e-18,0.0002897685883268119
50,9,0.021978287381059825,0.02148036252402636,0.02197828738105982,3.469446951953614e-18,0.0004979248570334618
50,10,0.038618990683862264,0.03788801701034215,0.03861899068386226,6.938893903907228e-18,0.0007309736735201106
50,11,0.060185440026798334,0.05927145577652859,0.06018544002679833,6.938893903907228e-18,0.0009139842502697351
50,12,0.08382972003732626,0.08287153198960862,0.08382972003732625,1.3877787807814457e-17,0.0009581880477176341
50,13,0.10501745147533184,0.10421303019429046,0.10501745147533177,6.938893903907228e-17,0.0008044212810413148
50,14,0.11894833789552892,0.11848738771354764,0.11894833789552885,6.938893903907228e-17,0.0004609501819812095
50,15,0.12234686183540114,0.12233754996877044,0.1223468618354011,4.163336342344337e-17,9.311866630654086e-06
50,16,0.1147001829706886,0.11512887282530171,0.11470018297068854,5.551115123125783e-17,0.0004286898546131679
50,17,0.0983144425463045,0.09905825213344038,0.09831444254630448,2.7755575615628914e-17,0.0007438095871359074
50,18,0.07724706200066783,0.07812832395574168,0.0772470620006678,2.7755575615628914e-17,0.0008812619550738754
50,19,0.05575727783506852,0.056608454404160166,0.0557572778350685,2.0816681711721685e-17,0.0008511765690916648
50,20,0.037038763133295516,0.03774760552259102,0.037038763133295495,2.0816681711721685e-17,0.0007088423892955276
50,21,0.02267679375507889,0.023198920687306678,0.02267679375507888,1.0408340855860843e-17,0.0005221269322277997
50,22,0.01281091595254457,0.013155868066069897,0.01281091595254456,1.0408340855860843e-17,0.0003449521135253375
50,23,0.006683956149153687,0.006890109392079586,0.006683956149153683,4.336808689942018e-18,0.00020615324292590307
50,24,0.0032226217147705277,0.003334686811040807,0.003222621714770527,8.673617379884035e-19,0.00011206509627028011
50,25,0.0014363685357262923,0.0014919861906057177,0.0014363685357262918,4.336808689942018e-19,5.5617654879425854e-05
50,26,0.0005919101108762194,0.000617174361542587,0.0005919101108762191,3.2526065174565133e-19,2.5264250666367865e-05
50,27,0.0002254895660480836,0.0002360107398322021,0.00022548956604808354,5.421010862427522e-20,1.0521173784118568e-05
50,28,7.93815309046825e-05,8.340229151965038e-05,7.938153090468244e-05,5.421010862427522e-20,4.0207606149679335e-06
50,29,2.5808773594625832e-05,2.7219433261680264e-05,2.580877359462582e-05,1.0164395367051604e-20,1.4106596670544424e-06
50,30,7.74263207838775e-06,8.19697349482179e-06,7.742632078387746e-06,3.3881317890172014e-21,4.5434141643404375e-07
50,31,2.1408199295081335e-06,2.275088236549046e-06,2.140819929508133e-06,4.235164736271502e-22,1.34268307040913e-07
50,32,5.447622142051948e-07,5.811366691185062e-07,5.447622142051945e-07,3.1763735522036263e-22,3.637445491331175e-08
50,33,1.2734701111290266e-07,1.3636824688281153e-07,1.273470111129026e-07,5.293955920339377e-23,9.02123576990892e-09
50,34,2.728864523847914e-08,2.933321557662307e-08,2.7288645238479135e-08,6.617444900424222e-24,2.044570338143935e-09
50,35,5.346346822232648e-09,5.7688337662296296e-09,5.346346822232647e-09,8.271806125530277e-25,4.224869439969825e-10
50,36,9.547047896844015e-10,1.034077753671978e-09,9.547047896844013e-10,2.0679515313825692e-25,7.937296398757661e-11
50,37,1.5481699292179483e-10,1.6832782779792478e-10,1.548169929217948e-10,2.5849394142282115e-26,1.3510834876129972e-11
50,38,2.2698732044924807e-11,2.4773769188132498e-11,2.2698732044924804e-11,3.2311742677852644e-27,2.075037143207694e-12
50,39,2.9932393905395353e-12,3.2793301231254423e-12,2.993239390539535e-12,4.0389678347315804e-28,2.8609073258590746e-13
50,40,3.527746424564453e-13,3.879665157107216e-13,3.527746424564452e-13,1.0097419586828951e-28,3.519187325427641e-14
50,41,3.687539816617895e-14,4.070865934789064e-14,3.6875398166178944e-14,6.310887241768095e-30,3.833261181711693e-15
50,42,3.3865161581184744e-15,3.752808740145523e-15,3.386516158118474e-15,3.944304526105059e-31,3.662925820270493e-16
50,43,2.700212219097787e-16,3.0036849263896905e-16,2.7002122190977863e-16,4.930380657631324e-32,3.034727072919042e-17
50,44,1.841053785748491e-17,2.0557777008159106e-17,1.841053785748491e-17,0.0,2.147239150674197e-18
50,45,1.0520307347134236e-18,1.179210397416907e-18,1.0520307347134232e-18,3.851859888774472e-34,1.2717966270348382e-19
50,46,4.900764292143278e-20,5.514166618107115e-20,4.9007642921432767e-20,1.2037062152420224e-35,6.134023259638383e-21
50,47,1.787512811723992e-21,2.018916839581552e-21,1.7875128117239912e-21,7.52316384526264e-37,2.314040278575609e-22
50,48,4.787980745689263e-23,5.42843772656367e-23,4.787980745689263e-23,0.0,6.404569808744063e-24
50,49,8.375476523071599e-25,9.532025335954514e-25,8.375476523071599e-25,0.0,1.1565488128829153e-25
50,50,7.178979876918513e-27,8.201468023613034e-27,7.178979876918513e-27,0.0,1.0224881466945212e-27
500,0,3.54013649449515e-78,1.9985260485401786e-78,3.540136494495147e-78,2.8764219523228867e-93,1.5416104459549683e-78
500,1,7.586006773918179e-76,4.2988889831299046e-76,7.586006773918173e-76,6.136366831622158e-91,3.287117790788268e-76
500,2,8.111608671825366e-74,4.6142720055535764e-74,8.111608671825361e-74,4.7127297266858175e-89,3.497336666271785e-74
500,3,5.770830169384329e-72,3.295244868405401e-72,5.770830169384328e-72,1.0053823416929744e-87,2.4755853009789265e-72
500,4,3.072967065197158e-70,1.7614101803451173e-70,3.072967065197155e-70,3.217223493417518e-85,1.3115568848520374e-70
500,5,1.3064499980038203e-68,7.517069862554763e-69,1.3064499980038189e-68,1.4413161250510481e-83,5.547430117483426e-69
500,6,4.619233921513507e-67,2.66795774755662e-67,4.6192339215135027e-67,4.612211600163354e-82,1.9512761739568826e-67
500,7,1.3970825860577584e-65,8.099986006246432e-66,1.3970825860577575e-65,8.433758354584419e-81,5.870839854331143e-66
500,8,3.6897949013918275e-64,2.1474230635095673e-64,3.6897949013918275e-64,0.0,1.54237183788226e-64
500,9,8.644662340403713e-63,5.050293508323948e-63,8.644662340403712e-63,1.0795210693868056e-78,3.594368832079764e-63
500,10,1.8190839467735237e-61,1.0667791605637688e-61,1.8190839467735237e-61,0.0,7.523047862097549e-62
500,11,3.472796625658546e-60,2.0443456682158195e-60,3.472796625658545e-60,5.527147875260445e-76,1.4284509574427257e-60
500,12,6.0649912498108204e-59,3.583920403707413e-59,6.064991249810817e-59,3.5373746401666845e-74,2.481070846103404e-59
500,13,9.757304604091257e-58,5.787769644740943e-58,9.757304604091248e-58,8.489699136400043e-73,3.969534959350305e-58
500,14,1.4546349006711556e-56,8.661409571655797e-57,1.4546349006711543e-56,1.3583518618240069e-71,5.884939435055746e-57
500,15,2.0198644620748046e-55,1.2072855373654415e-55,2.019864462074803e-55,1.448908652612274e-70,8.125789247093616e-56
500,16,2.62402035028468e-54,1.5743749327371415e-54,2.6240203502846774e-54,2.3182538441796384e-69,1.0496454175475359e-54
500,17,3.2017458391708867e-53,1.9283284948124638e-53,3.2017458391708834e-53,3.2455553818514937e-68,1.2734173443584196e-53
500,18,3.682007715046519e-52,2.2260353501519318e-52,3.682007715046517e-52,2.2255236904124528e-67,1.455972364894585e-52
500,19,4.003145230043057e-51,2.4294161060986073e-51,4.003145230043055e-51,1.7804189523299623e-66,1.573729123944448e-51
500,20,4.1260989763943786e-50,2.5135839776005126e-50,4.1260989763943767e-50,1.8991135491519597e-65,1.612514998793864e-50
500,21,4.041892874835309e-49,2.4716772162871344e-49,4.041892874835308e-49,1.5192908393215678e-64,1.5702156585481734e-49
500,22,3.77155848125866e-48,2.3151599405147595e-48,3.7715584812586615e-48,1.8231490071858814e-63,1.456398540743902e-48
500,23,3.359263889518583e-47,2.0699386418706434e-47,3.3592638895185835e-47,4.861730685829017e-63,1.28932524764794e-47
500,24,2.861372991607794e-46,1.7698685893248648e-46,2.8613729916077942e-46,3.8893845486632136e-62,1.0915044022829294e-46
500,25,2.3348803611519597e-45,1.4497208267414508e-45,2.33488036115196e-45,3.111507638930571e-61,8.851595344105092e-46
500,26,1.8281343487041434e-44,1.1394126899138488e-44,1.8281343487041444e-44,9.956824444577827e-60,6.887216587902956e-45
500,27,1.3754534623583558e-43,8.605419410424864e-44,1.3754534623583564e-43,5.974094666746696e-59,5.149115213158699e-44
500,28,9.958002362686263e-43,6.25390908509824e-43,9.958002362686265e-43,1.5930919111324523e-58,3.704093277588025e-43
500,29,6.9460745544649e-42,4.3789700668766453e-42,6.9460745544649e-42,0.0,2.5671044875882545e-42
500,30,4.673715878789955e-41,2.9576585925384673e-41,4.673715878789956e-41,1.0195788231247695e-56,1.7160572862514884e-41
500,31,3.0368384281538418e-40,1.9291261034671808e-40,3.0368384281538418e-40,0.0,1.107712324686661e-40
500,32,1.9075141376841317e-39,1.2163537385219417e-39,1.907514137684132e-39,3.2626522339992623e-55,6.911603991621903e-40
500,33,1.159372229137888e-38,7.421098906463807e-39,1.1593722291378879e-38,1.305060893599705e-54,4.1726233849150725e-39
500,34,6.82470795387471e-38,4.3851312396816255e-38,6.824707953874711e-38,1.044048714879764e-53,2.439576714193085e-38
500,35,3.894261926333405e-37,2.5117527142597434e-37,3.894261926333407e-37,1.6704779438076223e-52,1.3825092120736632e-37
500,36,2.1557521377917072e-36,1.3957374922488355e-36,2.1557521377917075e-36,3.3409558876152446e-52,7.60014645542872e-37
500,37,1.1586127319714508e-35,7.530024919528135e-36,1.1586127319714506e-35,1.3363823550460978e-51,4.056102400186372e-36
500,38,6.050049190632877e-35,3.9470281169180233e-35,6.050049190632874e-35,2.1382117680737565e-50,2.1030210737148512e-35
500,39,3.0715634352443836e-34,2.0115183601656506e-34,3.0715634352443823e-34,1.282927060844254e-49,1.0600450750787317e-34
500,40,1.5171329396224946e-33,9.97335659261079e-34,1.5171329396224934e-33,1.1973985901213036e-48,5.197972803614144e-34
500,41,7.29492493616391e-33,4.813840922749239e-33,7.294924936163907e-33,2.7369110631344083e-48,2.481084013414668e-33
500,42,3.4167046384686077e-32,2.263244856194167e-32,3.416704638468605e-32,2.7369110631344083e-47,1.153459782274438e-32
500,43,1.5596518848026143e-31,1.0370626102801475e-31,1.5596518848026121e-31,2.1895288505075267e-46,5.225892745224646e-32
500,44,6.9424764092999494e-31,4.63388138261021e-31,6.942476409299941e-31,8.758115402030107e-46,2.308595026689731e-31
500,45,3.01501832632455e-30,2.0201036520132634e-30,3.0150183263245456e-30,4.5542200090556555e-45,9.949146743112822e-31
500,46,1.2781055948549723e-29,8.596142990409637e-30,1.2781055948549704e-29,1.961817850054744e-44,4.184912958140067e-30
500,47,5.291124073533351e-29,3.5722186889208016e-29,5.291124073533342e-29,8.96831017167883e-44,1.7189053846125407e-29
500,48,2.1400707190273288e-28,1.4503453109422729e-28,2.140070719027325e-28,3.587324068671532e-43,6.897254080850523e-29
500,49,8.46045450437626e-28,5.755594411928761e-28,8.460454504376248e-28,1.2555634240350361e-42,2.7048600924474873e-28
500,50,3.2705699841203084e-27,2.233434045760255e-27,3.270569984120305e-27,3.587324068671532e-42,1.0371359383600498e-27
500,51,1.2367701620623013e-26,8.477970129282431e-27,1.2367701620622999e-26,1.4349296274686127e-41,3.889731491340568e-27
500,52,4.576729143675604e-26,3.1492801203704825e-26,4.576729143675599e-26,5.165746658887006e-41,1.4274490233051164e-26
