horizon,k,p_empirical,p_hypergeometric,p_iid_path_count,abs_diff_emp_vs_hyper,abs_diff_emp_vs_iid
5,0,0.02769,0.028142247214411657,0.03125,0.00045224721441165794,0.0035600000000000007
5,1,0.15342,0.15294699573049617,0.15625000000000022,0.000473004269503835,0.0028300000000002212
5,2,0.31821,0.31891075705509114,0.31250000000000017,0.0007007570550911502,0.005709999999999826
5,3,0.31982,0.31891075705509114,0.3125000000000003,0.0009092429449088502,0.007319999999999716
5,4,0.15286,0.15294699573049617,0.15625000000000022,8.699573049616993e-05,0.003390000000000226
5,5,0.028,0.028142247214411657,0.03125,0.0001422472144116567,0.0032499999999999994
10,0,0.00065,0.0005934196725858962,0.0009765625,5.658032741410373e-05,0.00032656250000000003
10,1,0.00715,0.007236825275437685,0.00976562500000001,8.682527543768526e-05,0.0026156250000000103
10,2,0.03732,0.03799333269604796,0.04394531249999999,0.000673332696047961,0.006625312499999994
10,3,0.11471,0.11309643221149233,0.11718749999999993,0.0016135677885076721,0.002477499999999924
10,4,0.21103,0.21141321703170643,0.2050781249999997,0.0003832170317064343,0.005951875000000301
10,5,0.25839,0.25933354622556554,0.24609374999999936,0.000943546225565528,0.012296250000000647
10,6,0.21229,0.21141321703170643,0.2050781249999995,0.0008767829682935768,0.007211875000000506
10,7,0.11337,0.11309643221149233,0.11718749999999982,0.0002735677885076643,0.003817499999999821
10,8,0.03686,0.03799333269604796,0.043945312500000035,0.001133332696047963,0.007085312500000038
10,9,0.00761,0.007236825275437685,0.00976562500000001,0.0003731747245623142,0.002155625000000011
10,10,0.00062,0.0005934196725858962,0.0009765625,2.6580327414103756e-05,0.0003565625
50,0,0.0,9.911653021418871e-30,8.881784197001244e-16,9.911653021418871e-30,8.881784197001244e-16
50,1,0.0,2.4779132553547546e-26,4.440892098500656e-14,2.4779132553547546e-26,4.440892098500656e-14
50,2,0.0,1.4873674315267398e-23,1.088018564132682e-12,1.4873674315267398e-23,1.088018564132682e-12
50,3,0.0,3.8076606247085104e-21,1.740829702612298e-11,3.8076606247085104e-21,1.740829702612298e-11
50,4,0.0,5.256951449987894e-19,2.0454749005693933e-10,5.256951449987894e-19,2.0454749005693933e-10
50,5,0.0,4.4494837072699033e-17,1.8818369085238804e-09,4.4494837072699033e-17,1.8818369085238804e-09
50,6,0.0,2.502834585339296e-15,1.4113776813929081e-08,2.502834585339296e-15,1.4113776813929081e-08
50,7,0.0,9.888750524932334e-14,8.871516854469647e-08,9.888750524932334e-14,8.871516854469647e-08
50,8,0.0,2.856921831343758e-12,4.768440309277423e-07,2.856921831343758e-12,4.768440309277423e-07
50,9,0.0,6.22174087714875e-11,2.2252721443295016e-06,6.22174087714875e-11,2.2252721443295016e-06
50,10,0.0,1.0458746414487345e-09,9.123615791751086e-06,1.0458746414487345e-09,9.123615791751086e-06
50,11,0.0,1.3829747324941434e-08,3.3176784697276296e-05,1.3829747324941434e-08,3.3176784697276296e-05
50,12,0.0,1.4607670611969477e-07,0.0001078245502661479,1.4607670611969477e-07,0.0001078245502661479
50,13,1e-05,1.2481346960759636e-06,0.0003151794546241225,8.751865303924037e-06,0.00030517945462412246
50,14,1e-05,8.717838770040619e-06,0.0008329742729351728,1.2821612299593818e-06,0.0008229742729351728
50,15,3e-05,5.021475131543418e-05,0.001999138255044412,2.021475131543418e-05,0.001969138255044412
50,16,0.00024,0.00024028543109924598,0.004373114932909655,2.8543109924597e-07,0.004133114932909655
50,17,0.00104,0.0009611417243969875,0.008746229865819357,7.885827560301243e-05,0.0077062298658193565
50,18,0.00298,0.003230504129223269,0.016034754754002307,0.00025050412922326916,0.013054754754002307
50,19,0.00904,0.009163535258516922,0.027005902743582753,0.00012353525851692242,0.017965902743582753
50,20,0.02224,0.022015393458586264,0.04185914925255251,0.00022460654141373548,0.019619149252552513
50,21,0.04432,0.044929374405279936,0.05979878464650503,0.0006093744052799374,0.015478784646505032
50,22,0.07876,0.07806942949347312,0.07882567067039357,0.0006905705065268775,6.567067039357777e-05
50,23,0.11515,0.11570214125308154,0.0959616860335201,0.0005521412530815339,0.01918831396647991
50,24,0.14617,0.14643552252343248,0.10795689678771014,0.00026552252343248206,0.03821310321228985
50,25,0.15842,0.15838466116134325,0.11227517265921848,3.5338838656751026e-05,0.04614482734078153
50,26,0.14729,0.14643552252343248,0.10795689678771091,0.0008544774765675278,0.0393331032122891
50,27,0.11653,0.11570214125308154,0.09596168603351941,0.0008278587469184584,0.02056831396648058
50,28,0.07828,0.07806942949347312,0.07882567067039288,0.00021057050652688314,0.0005456706703928782
50,29,0.04411,0.044929374405279936,0.05979878464650461,0.0008193744052799323,0.015688784646504604
50,30,0.02235,0.022015393458586264,0.04185914925255259,0.00033460654141373447,0.01950914925255259
50,31,0.00866,0.009163535258516922,0.027005902743582562,0.0005035352585169225,0.01834590274358256
50,32,0.00317,0.003230504129223269,0.01603475475400228,6.050412922326909e-05,0.01286475475400228
50,33,0.00094,0.0009611417243969875,0.008746229865819357,2.114172439698751e-05,0.007806229865819357
50,34,0.00021,0.00024028543109924598,0.004373114932909663,3.0285431099245967e-05,0.004163114932909663
50,35,4e-05,5.021475131543418e-05,0.0019991382550444262,1.0214751315434177e-05,0.001959138255044426
50,36,1e-05,8.717838770040619e-06,0.0008329742729351744,1.2821612299593818e-06,0.0008229742729351743
50,37,0.0,1.2481346960759636e-06,0.0003151794546241214,1.2481346960759636e-06,0.0003151794546241214
50,38,0.0,1.4607670611969477e-07,0.00010782455026614694,1.4607670611969477e-07,0.00010782455026614694
50,39,0.0,1.3829747324941434e-08,3.317678469727583e-05,1.3829747324941434e-08,3.317678469727583e-05
50,40,0.0,1.0458746414487345e-09,9.12361579175102e-06,1.0458746414487345e-09,9.12361579175102e-06
50,41,0.0,6.22174087714875e-11,2.2252721443295092e-06,6.22174087714875e-11,2.2252721443295092e-06
50,42,0.0,2.856921831343758e-12,4.768440309277456e-07,2.856921831343758e-12,4.768440309277456e-07
50,43,0.0,9.888750524932334e-14,8.871516854469647e-08,9.888750524932334e-14,8.871516854469647e-08
50,44,0.0,2.502834585339296e-15,1.411377681392893e-08,2.502834585339296e-15,1.411377681392893e-08
