quantity,value
"M_emp[0,0]",0.9987799693764983
"M_emp[0,1]",-0.0618906068985696
"M_emp[0,2]",0.02709564498056768
"M_emp[1,0]",-0.0012200306235570944
"M_emp[1,1]",-0.061890606898569525
"M_emp[1,2]",0.027095644980567626
"M_emp[2,0]",-0.0012200306235570092
"M_emp[2,1]",-1.0618906068986458
"M_emp[2,2]",0.027095644980567716
frobenius_distance_to_planted_random_walk,0.11703986082414503
grade_s0,0.3213283358194988
grade_rotor,0.595186876546199
grade_spin2,1.2300969068242384
grade_det,0.027095644980571185
grade_e12,-0.030335288137506255
grade_e13,0.014157837802062345
grade_e23,0.5444931259396067
residual_mean_level_channel,0.2921171951433512
residual_variance_level_channel,2043.5933750802292
