horizon,x,empirical_density,analytical_lognormal_density,abs_diff
1,0.010719368634379856,0.00799800944499006,0.0012689868408740433,0.006729022604116017
1,0.012044722611001032,0.003558969946879289,0.0019033134835390146,0.0016556564633402743
1,0.013533944742852152,0.0,0.002816188047299428,0.002816188047299428
1,0.015207295860452568,0.0028188315782378963,0.004110655659860292,0.0012918240816223955
1,0.017087541864649405,0.002508658420889218,0.005919140748318576,0.003410482327429358
1,0.01920026345613931,0.013395692998371926,0.008408225614443496,0.00498746738392843
1,0.02157420416027301,0.011921683545570284,0.011782790795579437,0.00013889274999084704
1,0.024241661382011632,0.015914802456804013,0.01628883777826831,0.0003740353214642979
1,0.027238925811327707,0.015737333435235302,0.022214173034669042,0.00647683959943374
1,0.030606775157150764,0.03221301584802229,0.02988603657758181,0.002326979270440479
1,0.03439102892709556,0.039886500291151754,0.03966474054388567,0.00022175974726608427
1,0.03864317180073757,0.05546491630150283,0.05193247645931006,0.003532439842192772
1,0.043421054077413826,0.08391501702706439,0.0670766815689454,0.016838335458118983
1,0.048789678728124224,0.09840364547901984,0.08546774113514266,0.012935904343877175
1,0.05482208575935514,0.11885272860359405,0.10743134275130116,0.011421385852292895
1,0.06160034592057331,0.1259553291824738,0.13321646426681152,0.007261135084337733
1,0.06921667727475621,0.16597595267970627,0.16296071540272883,0.003015237276977445
1,0.07777469982287336,0.20558508867891884,0.19665548468978958,0.008929603989129259
1,0.0873908452514541,0.2325056576177193,0.2341139675283594,0.0016083099106400933
1,0.09819594098282239,0.28462640202871375,0.2749455580050698,0.009680844023643942
1,0.1103369900789636,0.30225924127139536,0.3185401727376795,0.01628093146628412
1,0.12397917121457167,0.3478326738542347,0.364065759864664,0.016233086010429276
1,0.13930808592886038,0.41510383712871457,0.4104814929599002,0.004622344168814352
1,0.15653228372994485,0.4619896908567704,0.456567977182857,0.005421713673913364
1,0.17588609940577635,0.4859759300827755,0.5009742859940914,0.01499835591131593
1,0.19763284114317528,0.5452896853343724,0.5422799449159829,0.003009740418389528
1,0.2220683728292448,0.5831565235736628,0.5790682753891672,0.004088248184495602
1,0.2495251392722864,0.6126157464401929,0.6100060223752253,0.0026097240649676223
1,0.28037668910525004,0.6407621961854713,0.6339231235603267,0.006839072625144604
1,0.3150427569057088,0.6615559481612324,0.6498860066579153,0.011669941503317127
1,0.3539949736744753,0.6559683166113326,0.6572580270785506,0.0012897104672180415
1,0.39776328336378164,0.6604123529604646,0.6557415951113923,0.004670757849072338
1,0.44694315275173113,0.6308072513292231,0.645398107611618,0.01459085628239487
1,0.5022036727531857,0.6256698297840247,0.6266438236084871,0.0009739938244623936
1,0.5642966613852257,0.5964773178793397,0.6002220699777359,0.003744752098396198
1,0.634066892232803,0.5693787876243052,0.5671543637771921,0.0022244238471130773
1,0.7124635875726114,0.5238741804255845,0.5286749301908967,0.0048007497653121955
1,0.8005533325188428,0.48298916827776534,0.4861544620868257,0.0031652938090603877
1,0.8995345858874625,0.44385333860613874,0.4410196667405484,0.0028336718655903592
1,1.0107539851989595,0.39408042435967455,0.39467512775040947,0.0005947033907349186
1,1.1357246676487327,0.3443763679512764,0.34843332126328885,0.004056953312012446
1,1.2761468563014597,0.29999951857377055,0.3034573940543381,0.0034578754805675294
1,1.4339309915841252,0.26274371521974044,0.2607197243497966,0.0020239908699438147
1,1.6112237227810977,0.2202106054645811,0.22097755983860243,0.000766954374021328
1,1.8104371131449084,0.18610593600369135,0.18476537156400843,0.0013405644396829175
1,2.034281455957547,0.1545646594558125,0.15240215457206496,0.002162504883747529
1,2.28580214800398,0.12476707976536554,0.1240108701734162,0.0007562095919493445
1,2.5684211221205993,0.09892130061357761,0.09954662121971194,0.0006253206061343358
1,2.8859834025073963,0.07964419076419833,0.07882997954632562,0.0008142112178727151
1,3.2428094161877428,0.06009372556812376,0.06158209009620788,0.001488364528084124
1,3.6437537723119093,0.048669582699342157,0.047458669277901516,0.0012109134214406403
1,4.094271308995299,0.0348963351274907,0.03608068792926237,0.0011843528017716695
1,4.600491306256997,0.027236150442632757,0.02706027358591243,0.00017587685672032852
1,5.169300874723863,0.020134367680083913,0.02002108814972631,0.00011327953035760244
1,5.808438654601414,0.014863503257416994,0.014613064236232858,0.0002504390211841359
1,6.526600099683717,0.010193558908402234,0.010521872379748784,0.00032831347134655055
1,7.333555778788636,0.00756965859044431,0.007473824359795561,9.583423064874873e-05
1,8.240284304106586,0.0051084649185990875,0.005237099990348106,0.0001286350717490184
1,9.25912169494967,0.0037315251495648426,0.0036202366874779454,0.00011128846208689714
1,10.403929208991372,0.0025586762329405464,0.0024687731505203757,8.990308242017063e-05
1,11.690281924336686,0.001650093875479148,0.001660823673855885,1.072979837673702e-05
1,13.135680638077128,0.0011780826069804926,0.0011022090915320962,7.587351544839638e-05
1,14.759789964205224,0.000656371000689846,0.0007216100483837249,6.523904769387893e-05
1,16.584705870204797,0.00047558831174229516,0.00046605725850380807,9.531053238487092e-06
1,18.635256292145773,0.0002990398771808275,0.0002969436901199021,2.0961870609253856e-06
1,20.939338918144486,0.0001781055322902161,0.00018664099762822972,8.535465338013618e-06
1,23.528300735725164,0.00012206899343306266,0.000115727911083977,6.341082349085652e-06
1,26.437364506815104,8.593673194391174e-05,7.078924850794964e-05,1.5147483435962102e-05
1,29.706107972555444,3.030363056795306e-05,4.2716396664105556e-05,1.2412766096152495e-05
1,33.37900230749704,2.183215938375071e-05,2.5428458901688067e-05,3.596299517937356e-06
1,37.50601714883782,1.6001040011610336e-05,1.4932880549405603e-05,1.0681594622047329e-06
1,42.14330043210929,1.1188845175075307e-05,8.650979098612836e-06,2.5378660764624707e-06
1,47.35394228246006,8.147183392212505e-06,4.9440750575220724e-06,3.2031083346904325e-06
1,53.20883335425861,2.4168997752110783e-06,2.7874235747667134e-06,3.705237995556351e-07
1,59.787629296704516,2.8679381534475793e-06,1.5503116236732353e-06,1.317626529774344e-06
1,67.17983446697899,6.380903753509572e-07,8.506152383345301e-07,2.1252486298357292e-07
1,75.48601963482531,5.678774162212406e-07,4.6041072841491234e-07,1.0746668780632824e-07
1,84.8191902454009,0.0,2.458418595115206e-07,2.458418595115206e-07
1,95.30632385558238,0.0,1.2949838444219935e-07,1.2949838444219935e-07
1,107.09009766050754,4.002872975888426e-07,6.729317036097932e-08,3.329941272278633e-07
2,0.002408062964884215,0.026254742274016873,0.013252267558350447,0.013002474715666425
2,0.002820257984464092,0.06725243527817233,0.018105655742259127,0.049146779535913204
2,0.003303009603536634,0.028711575250165086,0.024429640010863223,0.004281935239301864
2,0.003868395196877117,0.008171744264091589,0.03255356996269019,0.0243818256985986
2,0.004530559458016416,0.03488701180754424,0.04284093322369989,0.007953921416155647
2,0.005306068268100485,0.07149143508318247,0.05567983878907695,0.015811596294105515
2,0.006214323137493823,0.06104259896739513,0.07146868010335729,0.010426081135962155
2,0.007278046588536604,0.07818136992967098,0.0905966835347364,0.012415313605065426
2,0.008523850622655515,0.1260923355494046,0.11341946226254515,0.012672873286859454
2,0.009982902493614535,0.17416122169726717,0.140230219523056,0.03393100217421116
2,0.011691704443075726,0.1270766132958444,0.1712278445685088,0.044151231272664404
2,0.013693006905724354,0.19392154434982461,0.20648376549783884,0.012562221148014224
2,0.01603687803032505,0.25033956718982847,0.24590999397116953,0.004429573218658944
2,0.018781956273753685,0.2894897718692433,0.28923123544733975,0.00025853642190354353
2,0.021996917405129473,0.32765637724767105,0.33596416145466773,0.008307784206996682
2,0.02576219262123672,0.3448014623611065,0.3854068748755787,0.040605412514472194
2,0.030171980756673544,0.45156372856347493,0.43664119656620354,0.014922531997271393
2,0.03533660492976227,0.5072287248816078,0.48854964886885643,0.018679076012751317
2,0.04138527258227529,0.5690573734379554,0.5398479398645224,0.029209433573432975
2,0.04846930796304853,0.5426278871047459,0.5891324396828973,0.04650455257815145
2,0.056765937925053085,0.6509869693031858,0.6349407078463212,0.016046261456864608
2,0.06648272574817066,0.7051441972026472,0.6758217309647505,0.029322466237896694
2,0.07786276391208488,0.7003334753483312,0.7104113293232633,0.010077853974932105
2,0.09119075573094844,0.7258910884180678,0.7375073469408573,0.011616258522789469
2,0.10680013799883666,0.7598006435505954,0.7561388791972936,0.0036617643533017885
2,0.12508142283877882,0.7576775476370387,0.7656239902352694,0.00794644259823074
2,0.1464919674499279,0.7567763584467021,0.7656111385628805,0.008834780116178442
2,0.17156741617027357,0.7659330610183526,0.7561008024670918,0.009832258551260797
2,0.20093510110993013,0.7249403329111217,0.7374454504699169,0.012505117558795242
2,0.2353297366091205,0.7084495340217895,0.7103278593716718,0.0018783253498823038
2,0.2756118001613863,0.6791142690322983,0.6757196394577193,0.0033946295745790334
2,0.3227890596519538,0.6385198328779816,0.6348234792620899,0.003696353615891712
2,0.3780417854750116,0.5701154277400006,0.589003894246583,0.01888846650658238
2,0.44275227828115654,0.5335557196858325,0.5397120284943149,0.006156308808482391
2,0.5185394510737549,0.48562842679805623,0.48841025508071473,0.002781828282658494
2,0.6072993308215678,0.43609705684848327,0.4365019588749769,0.0004049020264936254
2,0.7112524928481591,0.3785815425344431,0.385271040413768,0.006689497879324879
2,0.8329996147012954,0.3398336592528083,0.33583447795774674,0.003999181295061549
2,0.9755865393369392,0.28967920607871034,0.28910988487291495,0.0005693212057953922
2,1.1425804753543845,0.24670478353374817,0.2457985672659904,0.0009062162677577756
2,1.3381592406434104,0.2060883592681813,0.2063832747760806,0.0002949155078992849
2,1.5672157821215627,0.17288141198335502,0.17113876648798007,0.0017426454953749504
2,1.835480586413568,0.1404838074519889,0.1401525620900035,0.0003312453619853939
2,2.1496650439165728,0.11173110582656474,0.11335284668215609,0.0016217408555913443
2,2.517629352902145,0.08892210425835849,0.0905404329654246,0.0016183287070661162
2,2.948579164243258,0.07296670830601934,0.07142190809940413,0.00154480020661521
2,3.453295886381172,0.05586697814215074,0.055641531612304625,0.00022544652984611557
2,4.044406412251675,0.04266815914636832,0.042810021842638615,0.0001418626962702979
2,4.7366990161401334,0.03213409730692349,0.032528989226978944,0.0003948919200554568
2,5.547493323503996,0.025118309065739308,0.024410374018773055,0.0007079350469662536
2,6.497073609587136,0.018138598123361847,0.01809076969128555,4.782843207629811e-05
2,7.60919626699632,0.01344359216824509,0.013240927318351607,0.00020266484989348368
2,8.911684137953001,0.00965548154213171,0.009571026185176404,8.445535695530623e-05
2,10.437122580095165,0.007029751265205011,0.0068324640149654454,0.00019728725023956516
2,12.223674679851724,0.004846334715644794,0.004816981158104497,2.9353557540297108e-05
2,14.316036008219978,0.003287891806508386,0.003353909100483221,6.601729397483517e-05
2,16.766552804818023,0.0023529700895219613,0.0023062499506184856,4.672013890347562e-05
