horizon,var_empirical,var_predicted_3n,median_empirical,iqr_empirical
1,2.947033234480835,3.0,0.00027964904262876,1.519958491020178
10,30.160740152209254,30.0,-0.0070808938515442565,6.334024029252544
100,300.6618829811195,300.0,0.021115457852408925,22.24355275056415
1000,3001.259503854243,3000.0,0.3459051417714374,72.68058950551281
