lag,empirical_acf,predicted_acf_depth2_recurrence
0,1.0,1.0
1,0.7120743833961144,0.7142857142857143
2,0.6564301588286544,0.6571428571428571
3,0.5415840396491485,0.5428571428571428
4,0.46725035279089494,0.4685714285714285
5,0.39729932133311824,0.39714285714285713
6,0.34092151100507995,0.3391428571428571
