row,col,M_empirical,M_planted,abs_diff
0,0,0.7993302080828746,0.8,0.0006697919171254618
0,1,-0.3030947416167779,-0.3,0.0030947416167779185
0,2,4.483277388000212e-05,0.0,4.483277388000212e-05
1,0,-0.20066979191710996,-0.19999999999999996,0.000669791917110002
1,1,-0.3030947416167783,-0.3,0.003094741616778307
1,2,4.4832773880127746e-05,0.0,4.4832773880127746e-05
2,0,-0.20066979191710776,-0.19999999999999996,0.0006697919171078093
2,1,-1.3030947416167808,-1.3,0.003094741616780805
2,2,4.483277388028704e-05,0.0,4.483277388028704e-05
