horizon,mean_empirical,mean_predicted,var_empirical,var_predicted,skew_empirical,skew_predicted_2_over_sqrt_n,excess_kurt_empirical,excess_kurt_predicted_6_over_n,l1_density_distance
1,1.0018109260023613,1.0,1.0125940622404348,1.0,2.0216889785279397,2.0,6.111704828415027,6.0,0.009525501666131564
2,1.9965686912271188,2.0,1.9965288281673443,2.0,1.4150134471738354,1.414213562373095,2.9749923345566076,3.0,0.009710683362467817
10,9.997839511845354,10.0,9.9362534754128,10.0,0.621165774237606,0.6324555320336759,0.5721912767400124,0.6,0.012938991525217693
100,99.99542652926985,100.0,100.30357376037287,100.0,0.2062160672184143,0.2,0.0558349496963797,0.06,0.01328374512955852
