horizon,k,p_path_count,p_empirical,abs_diff
5,0,0.03125,0.03108,0.00017
5,1,0.15625,0.156565,0.0003150000000000097
5,2,0.3125,0.3115,0.0010000000000000009
5,3,0.3125,0.31243,7.00000000000145e-05
5,4,0.15625,0.157025,0.0007749999999999979
5,5,0.03125,0.0314,0.00014999999999999736
10,0,0.0009765625,0.001035,5.8437499999999896e-05
10,1,0.009765625,0.009785,1.9375000000000295e-05
10,2,0.0439453125,0.042945,0.001000312500000003
10,3,0.1171875,0.116675,0.0005124999999999991
10,4,0.205078125,0.20515,7.187499999999902e-05
10,5,0.24609375,0.248005,0.0019112500000000032
10,6,0.205078125,0.204995,8.312499999998946e-05
10,7,0.1171875,0.11624,0.0009475000000000039
10,8,0.0439453125,0.04454,0.0005946875000000032
10,9,0.009765625,0.009695,7.062499999999951e-05
10,10,0.0009765625,0.000935,4.156250000000004e-05
50,0,8.881784197001252e-16,0.0,8.881784197001252e-16
50,1,4.440892098500626e-14,0.0,4.440892098500626e-14
50,2,1.0880185641326534e-12,0.0,1.0880185641326534e-12
50,3,1.7408297026122455e-11,0.0,1.7408297026122455e-11
50,4,2.0454749005693884e-10,0.0,2.0454749005693884e-10
50,5,1.8818369085238373e-09,0.0,1.8818369085238373e-09
50,6,1.411377681392878e-08,0.0,1.411377681392878e-08
50,7,8.871516854469519e-08,0.0,8.871516854469519e-08
50,8,4.768440309277366e-07,0.0,4.768440309277366e-07
50,9,2.2252721443294377e-06,0.0,2.2252721443294377e-06
50,10,9.123615791750694e-06,5e-06,4.123615791750694e-06
50,11,3.317678469727525e-05,2e-05,1.317678469727525e-05
50,12,0.00010782455026614457,0.00014,3.217544973385542e-05
50,13,0.0003151794546241149,0.00035,3.48205453758851e-05
50,14,0.0008329742729351608,0.000795,3.797427293516077e-05
50,15,0.001999138255044386,0.001935,6.413825504438583e-05
50,16,0.004373114932909594,0.00447,9.688506709040583e-05
50,17,0.008746229865819188,0.00846,0.00028622986581918787
50,18,0.016034754754001845,0.01606,2.5245245998156002e-05
50,19,0.027005902743582055,0.026825,0.00018090274358205372
50,20,0.041859149252552186,0.04159,0.0002691492525521838
50,21,0.05979878464650312,0.058795,0.0010037846465031225
50,22,0.07882567067039048,0.07908,0.0002543293296095178
50,23,0.09596168603351884,0.09698,0.001018313966481152
50,24,0.1079568967877087,0.10968,0.0017231032122912993
50,25,0.11227517265921705,0.112055,0.00022017265921704665
50,26,0.1079568967877087,0.10789,6.689678770870067e-05
50,27,0.09596168603351884,0.095185,0.0007766860335188391
50,28,0.07882567067039048,0.07904,0.00021432932960951945
50,29,0.05979878464650312,0.059835,3.621535349687677e-05
50,30,0.041859149252552186,0.04116,0.0006991492525521836
50,31,0.027005902743582055,0.027395,0.0003890972564179439
50,32,0.016034754754001845,0.01586,0.00017475475400184626
50,33,0.008746229865819188,0.00876,1.377013418081205e-05
50,34,0.004373114932909594,0.00414,0.0002331149329095946
50,35,0.001999138255044386,0.002025,2.5861744955613976e-05
50,36,0.0008329742729351608,0.00084,7.025727064839237e-06
50,37,0.0003151794546241149,0.00046,0.00014482054537588512
50,38,0.00010782455026614457,0.00013,2.217544973385542e-05
50,39,3.317678469727525e-05,3e-05,3.1767846972752515e-06
50,40,9.123615791750694e-06,1e-05,8.763842082493064e-07
50,41,2.2252721443294377e-06,0.0,2.2252721443294377e-06
50,42,4.768440309277366e-07,0.0,4.768440309277366e-07
50,43,8.871516854469519e-08,0.0,8.871516854469519e-08
50,44,1.411377681392878e-08,0.0,1.411377681392878e-08
50,45,1.8818369085238373e-09,0.0,1.8818369085238373e-09
50,46,2.0454749005693884e-10,0.0,2.0454749005693884e-10
50,47,1.7408297026122455e-11,0.0,1.7408297026122455e-11
50,48,1.0880185641326534e-12,0.0,1.0880185641326534e-12
50,49,4.440892098500626e-14,0.0,4.440892098500626e-14
50,50,8.881784197001252e-16,0.0,8.881784197001252e-16
500,0,3.054936363499605e-151,0.0,3.054936363499605e-151
500,1,1.5274681817498023e-148,0.0,1.5274681817498023e-148
500,2,3.811033113465757e-146,0.0,3.811033113465757e-146
500,3,6.326314968353156e-144,0.0,6.326314968353156e-144
500,4,7.860446348178797e-142,0.0,7.860446348178797e-142
500,5,7.797562777393366e-140,0.0,7.797562777393366e-140
500,6,6.432989291349527e-138,0.0,6.432989291349527e-138
500,7,4.539852442752381e-136,0.0,4.539852442752381e-136
500,8,2.7976840678461547e-134,0.0,2.7976840678461547e-134
500,9,1.529400623755898e-132,0.0,1.529400623755898e-132
500,10,7.509357062641459e-131,0.0,7.509357062641459e-131
500,11,3.3450772369948315e-129,0.0,3.3450772369948315e-129
500,12,1.3631189740753938e-127,0.0,1.3631189740753938e-127
500,13,5.116938918067632e-126,0.0,5.116938918067632e-126
500,14,1.7799637522135264e-124,0.0,1.7799637522135264e-124
500,15,5.767082557171825e-123,0.0,5.767082557171825e-123
500,16,1.7481469001427096e-121,0.0,1.7481469001427096e-121
500,17,4.977077056876891e-120,0.0,4.977077056876891e-120
500,18,1.3355156769286324e-118,0.0,1.3355156769286324e-118
500,19,3.387992401471583e-117,0.0,3.387992401471583e-117
500,20,8.148121725539157e-116,0.0,8.148121725539157e-116
500,21,1.8624278229803788e-114,0.0,1.8624278229803788e-114
500,22,4.055013305489098e-113,0.0,4.055013305489098e-113
500,23,8.427375478364298e-112,0.0,8.427375478364298e-112
500,24,1.6749408763249044e-110,0.0,1.6749408763249044e-110
500,25,3.189087428522618e-109,0.0,3.189087428522618e-109
500,26,5.826217417493244e-108,0.0,5.826217417493244e-108
500,27,1.0228248355154806e-106,0.0,1.0228248355154806e-106
500,28,1.7278433828529369e-105,0.0,1.7278433828529369e-105
500,29,2.812214057608918e-104,0.0,2.812214057608918e-104
500,30,4.4151760704460014e-103,0.0,4.4151760704460014e-103
500,31,6.69397662293426e-102,0.0,6.69397662293426e-102
500,32,9.810859487988024e-101,0.0,9.810859487988024e-101
500,33,1.3913582546601198e-99,0.0,1.3913582546601198e-99
500,34,1.9110714850772822e-98,0.0,1.9110714850772822e-98
500,35,2.5444551772743243e-97,0.0,2.5444551772743243e-97
500,36,3.286587937312669e-96,0.0,3.286587937312669e-96
500,37,4.121558926792104e-95,0.0,4.121558926792104e-95
500,38,5.021794166065116e-94,0.0,5.021794166065116e-94
500,39,5.948894627492522e-93,0.0,5.948894627492522e-93
500,40,6.856101058185132e-92,0.0,6.856101058185132e-92
500,41,7.69221094332966e-91,0.0,7.69221094332966e-91
