cell,phi1_true,phi2_true,PT_phi1_mean,PT_phi2_mean,PT_phi1_std,PT_phi2_std,PT_alpha_mean,PT_beta_mean,OLS_phi1_mean,OLS_phi2_mean,YW_phi1_mean,YW_phi2_mean,MSE_PT,MSE_OLS,MSE_YW
R1: AR(1) φ=0.5,0.5,0.0,0.5050688569814068,-0.005753489152455869,0.03464206259788739,0.027616136193559477,0.49931536782895086,0.005753489152455869,0.5050688569814069,-0.005753489152455883,0.504284089591887,-0.006530063520635394,0.0020018921930295853,0.002001892193029586,0.0020138619938512795
R2: AR(1) φ=0.95,0.95,0.0,0.9548080991296414,-0.007904093109249331,0.034739587231339894,0.03332296208099786,0.9469040060203917,0.007904093109249331,0.9548080991296415,-0.007904093109249322,0.9541515558290513,-0.009266457607648236,0.0023796786407470787,0.00237967864074708,0.002481811867311365
R3: Random walk,1.0,0.0,1.0048087962671708,-0.006335459168322304,0.03460494533046593,0.03468363849947094,0.9984733370988487,0.006335459168322304,1.004808796267171,-0.006335459168322325,1.0021379537319621,-0.008407479677987174,0.002439715015090293,0.0024397150150902943,0.0027701627869765205
R4: AR(1) φ=1.05,1.05,0.0,1.0975113122171936,-0.04988687782805429,5.815104389078105e-16,2.598168917577603e-17,1.0476244343891385,0.04988687782805429,0.5505945303210474,0.5243757431629001,0.9533246249804658,-3.475744448759513e-05,0.0047460253680309036,0.5243757431629009,0.00934612934324761
"R5: AR(2) (1.4,-0.6)",1.4,-0.6,1.4017450794383182,-0.602227121375637,0.02740400608744255,0.026492350357543912,0.7995179580626818,0.602227121375637,1.4017450794383188,-0.6022271213756368,1.403790364378518,-0.6046246995288991,0.0014463013072042322,0.0014463013072042342,0.0015070059848163277
"R6: AR(2) (0.9,0.05)",0.9,0.05,0.9048006039073025,0.04200698866850047,0.03454355269640812,0.033159297836701,0.946807592575802,-0.04200698866850047,0.9048006039073023,0.04200698866850047,0.9036569043236982,0.0409871998142311,0.0023568021332737252,0.002356802133273727,0.0024414585341165406
R7: 2-sines + noise,,,1.6729945191035447,-0.8803366358768779,0.002575769482304429,0.0025655393639655807,0.7926578832266662,0.8803366358768779,1.6729945191035438,-0.8803366358768777,1.682758357517153,-0.8892853664727918,nan,nan,nan
R8: I(2),,,1.9976995283382255,-0.99770260564282,0.0038281063066817186,0.0038373656995108986,0.9999969226954054,0.99770260564282,1.9976995283382255,-0.9977026056428201,1.0046839101626934,-0.006514055557463732,nan,nan,nan
