series,forecaster,rmse
S1: AR(1) stable,YW-AR(2),1.038103618917561
S1: AR(1) stable,Naive,1.1521807942149183
S1: AR(1) stable,Naive,1.1091177350515689
S1: AR(1) stable,Naive,1.171718249339908
S1: AR(1) stable,Naive,1.012094578568002
S1: AR(1) stable,Naive,1.2191419478726953
S1: AR(1) stable,Naive,1.0119136117252632
S1: AR(1) stable,Naive,1.2496719105740763
S1: AR(1) stable,Naive,1.1220420828260727
S1: AR(1) stable,Naive,1.140270183414321
S1: AR(1) stable,Naive,1.1423374718530357
S1: AR(1) stable,Naive,1.2448930745631297
S1: AR(1) stable,Naive,1.0615988411178814
S1: AR(1) stable,Naive,1.1360712197327003
S1: AR(1) stable,Naive,1.195187396522609
S1: AR(1) stable,Naive,1.2135893136492832
S1: AR(1) stable,Naive,1.0279156033674106
S1: AR(1) stable,Naive,1.13997124702906
S1: AR(1) stable,Naive,1.185629184714974
S1: AR(1) stable,Naive,1.1157430297382718
S1: AR(1) stable,Naive,1.1932774738014598
S2: AR(1) near unit,PT-univ,0.9791810650149502
S2: AR(1) near unit,PT-univ,1.0094433783223113
S2: AR(1) near unit,PT-univ,1.0811368014455165
S2: AR(1) near unit,PT-univ,1.0749816186913184
S2: AR(1) near unit,PT-univ,0.9515190084375003
S2: AR(1) near unit,PT-univ,0.8384640566735434
S2: AR(1) near unit,PT-univ,0.9847859945531503
S2: AR(1) near unit,PT-univ,1.0692502165010354
S2: AR(1) near unit,PT-univ,0.9310406654355058
S2: AR(1) near unit,PT-univ,0.9942206755457301
S2: AR(1) near unit,PT-univ,0.9424680125397873
S2: AR(1) near unit,PT-univ,1.0208967029620997
S2: AR(1) near unit,PT-univ,0.9345537152615371
S2: AR(1) near unit,PT-univ,1.0848497214860902
S2: AR(1) near unit,PT-univ,0.8453030713336961
S2: AR(1) near unit,PT-univ,1.053237899268882
S2: AR(1) near unit,PT-univ,0.904169274336386
S2: AR(1) near unit,PT-univ,0.9246128873488177
S2: AR(1) near unit,PT-univ,0.961697938857316
S2: AR(1) near unit,PT-univ,1.1201758462178284
S2: AR(1) near unit,PT-univ-quad,0.9761263917016632
S2: AR(1) near unit,PT-univ-quad,1.0175088326633097
S2: AR(1) near unit,PT-univ-quad,1.0934375691988134
S2: AR(1) near unit,PT-univ-quad,1.0888162804118762
S2: AR(1) near unit,PT-univ-quad,0.9517754887285769
S2: AR(1) near unit,PT-univ-quad,0.8431740027754804
S2: AR(1) near unit,PT-univ-quad,0.9847531081389257
S2: AR(1) near unit,PT-univ-quad,1.0769151022205472
S2: AR(1) near unit,PT-univ-quad,0.9470882361577967
S2: AR(1) near unit,PT-univ-quad,1.0150738360247735
S2: AR(1) near unit,PT-univ-quad,0.9268662702422785
S2: AR(1) near unit,PT-univ-quad,1.0377471922969776
S2: AR(1) near unit,PT-univ-quad,0.9447125697153478
S2: AR(1) near unit,PT-univ-quad,1.0828620367690835
S2: AR(1) near unit,PT-univ-quad,0.877703851285138
S2: AR(1) near unit,PT-univ-quad,1.0747645360258438
S2: AR(1) near unit,PT-univ-quad,0.906962594866596
S2: AR(1) near unit,PT-univ-quad,0.9212505531120583
S2: AR(1) near unit,PT-univ-quad,0.9589713746584961
S2: AR(1) near unit,PT-univ-quad,1.1144839645321498
S2: AR(1) near unit,OLS-AR(1),0.9769316835339901
S2: AR(1) near unit,OLS-AR(1),1.0078290851375582
S2: AR(1) near unit,OLS-AR(1),1.080234124180998
S2: AR(1) near unit,OLS-AR(1),1.0734103110488378
S2: AR(1) near unit,OLS-AR(1),0.9555490119345478
S2: AR(1) near unit,OLS-AR(1),0.8368360721639696
S2: AR(1) near unit,OLS-AR(1),0.9821371753958597
S2: AR(1) near unit,OLS-AR(1),1.0691888429359824
S2: AR(1) near unit,OLS-AR(1),0.9276432513732117
S2: AR(1) near unit,OLS-AR(1),0.9914094833244468
S2: AR(1) near unit,OLS-AR(1),0.9415452020838786
S2: AR(1) near unit,OLS-AR(1),1.0252495476870824
S2: AR(1) near unit,OLS-AR(1),0.9369797573838037
S2: AR(1) near unit,OLS-AR(1),1.0838463521277548
S2: AR(1) near unit,OLS-AR(1),0.8444684594332972
S2: AR(1) near unit,OLS-AR(1),1.0504116678684934
S2: AR(1) near unit,OLS-AR(1),0.9015413483982091
S2: AR(1) near unit,OLS-AR(1),0.9266749265993556
S2: AR(1) near unit,OLS-AR(1),0.962157108382087
S2: AR(1) near unit,OLS-AR(1),1.118486002590109
