cell,rmse_pt,rmse_var,mse_pt,mse_var,rank_M_mean
M1: independent AR(1),1.4248146570184923,1.4248146570184923,0.011214150914708638,0.011214150914708648,2.0
M2: cointegrated I(1),0.6234473483317309,0.6234473483317309,nan,nan,1.0666666666666667
M3: triangular VAR(1),1.4246462446260464,1.4246462446260464,0.011369308980136163,0.011369308980136139,2.0
M4: mixed I(1)+AR(1),1.4314734374792868,1.4314734374792872,0.011753995573649239,0.011753995573649232,1.1333333333333333
M5: explosive + AR(1),63.101105817301736,70.49239751531694,0.23489104901163022,0.7494156849493365,2.0
M6: two indep RW,1.4364915124207682,1.4364915124207684,0.012040537999640688,0.01204053799964065,0.43333333333333335
M7: full VAR(1),1.4247510584752299,1.42475105847523,0.011288616641569783,0.011288616641569766,2.0
