label,T,d,rank,eg_t,rmse_pt,rmse_var
R7: Consumption-Income (Hall 1978),268,2,1,-4.615459202085858,0.03600604628828404,0.036006046288284806
R8: M1 vs M2 (monetary aggregates),805,2,1,-0.8461947660635495,0.110068432122444,0.11006843212244473
R9: FX triangulation JPY/EUR/GBP,6829,3,2,nan,0.010130834419226837,0.010130834419226848
R10: Argentina USD/ARS vs inflation (explosive),99,2,1,-0.6555717984131942,3.785924992475135,3.7859249924751297
R11: GDP vs Industrial Production,268,2,1,-0.669428025878766,0.038523779261341866,0.038523779261334434
R12: 10Y nominal vs 10Y real ex-post,803,2,2,-2.6067643458814946,2.7821508420180217,2.782150842018022
